Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18079,0,10,4
2001,110529,California State Polytechnic University-Pomona,1,Main Campus,19041,2,24,16
2001,110538,California State University-Chico,1,Main Campus,16704,2,29,59
2001,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12871,5,3,4
2001,110583,California State University-Long Beach,1,Main Campus,33259,1,6,30
2001,110617,California State University-Sacramento,1,Sacramento State,26923,1,5,4
2001,115755,Humboldt State University,1,Humboldt State University,7382,0,17,8
2001,122409,San Diego State University,1,Main Campus,34171,6,67,35
2001,122755,San Jose State University,1,Main Campus,28007,3,22,35
2001,123572,Sonoma State University,1,Sonoma State University,7590,1,17,44
2002,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18453,0,7,12
2002,110529,California State Polytechnic University-Pomona,1,Main Campus,19821,3,10,1
2002,110538,California State University-Chico,1,Main Campus,16246,0,14,11
2002,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13504,0,1,2
2002,110583,California State University-Long Beach,1,Main Campus,34566,4,16,10
2002,110617,California State University-Sacramento,1,Sacramento State,28558,2,8,6
2002,115755,Humboldt State University,1,Humboldt State University,7611,2,28,20
2002,122409,San Diego State University,1,Main Campus,34304,6,76,115
2002,122755,San Jose State University,1,Main Campus,30350,2,32,34
2002,123572,Sonoma State University,1,Sonoma State University,8219,2,12,14
2003,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18303,0,30,20
2003,110529,California State Polytechnic University-Pomona,1,Main Campus,19804,5,7,1
2003,110538,California State University-Chico,1,Main Campus,15516,1,14,55
2003,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13248,3,4,1
2003,110583,California State University-Long Beach,1,Main Campus,34715,7,33,91
2003,110617,California State University-Sacramento,1,Sacramento State,28375,0,9,6
2003,115755,Humboldt State University,1,Humboldt State University,7725,2,56,27
2003,122409,San Diego State University,1,Main Campus,32803,5,88,129
2003,122755,San Jose State University,1,Main Campus,28932,4,59,15
2003,123572,Sonoma State University,1,Sonoma State University,8371,5,9,14
2004,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,17582,0,14,9
2004,110529,California State Polytechnic University-Pomona,1,Main Campus,19003,4,5,4
2004,110538,California State University-Chico,1,Main Campus,15734,1,14,22
2004,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12613,5,11,8
2004,110583,California State University-Long Beach,1,Main Campus,33479,1,25,26
2004,110617,California State University-Sacramento,1,Sacramento State,27972,0,10,2
2004,115755,Humboldt State University,1,Humboldt State University,7550,1,45,13
2004,122409,San Diego State University,1,Main Campus,32043,8,31,42
2004,122755,San Jose State University,1,Main Campus,29044,9,30,15
2004,123572,Sonoma State University,1,Sonoma State University,7977,5,10,17
2005,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18475,0,25,10
2005,110529,California State Polytechnic University-Pomona,1,Main Campus,19885,1,4,2
2005,110538,California State University-Chico,1,Main Campus,15919,0,17,14
2005,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12357,1,12,3
2005,110583,California State University-Long Beach,1,Main Campus,34547,5,32,27
2005,110617,California State University-Sacramento,1,Sacramento State,27932,4,29,3
2005,115755,Humboldt State University,1,Humboldt State University,7462,1,73,14
2005,122409,San Diego State University,1,Main Campus,31802,5,69,48
2005,122755,San Jose State University,1,Main Campus,29975,11,22,32
2005,123572,Sonoma State University,1,Sonoma State University,7749,8,21,7
2006,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18722,0,14,2
2006,110529,California State Polytechnic University-Pomona,1,Main Campus,20510,2,10,5
2006,110538,California State University-Chico,1,Main Campus,16250,1,17,5
2006,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12068,3,6,8
2006,110583,California State University-Long Beach,1,Main Campus,35574,2,29,14
2006,110617,California State University-Sacramento,1,Sacramento State,28529,3,29,0
2006,115755,Humboldt State University,1,Humboldt State University,7435,0,80,26
2006,122409,San Diego State University,1,Main Campus,33441,4,74,51
2006,122755,San Jose State University,1,Main Campus,29604,10,53,57
2006,123572,Sonoma State University,1,Sonoma State University,8274,5,42,14
2007,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,19777,1,12,2
2007,110529,California State Polytechnic University-Pomona,1,Main Campus,21477,7,12,8
2007,110538,California State University-Chico,1,Main Campus,17034,2,24,9
2007,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12082,2,34,1
2007,110583,California State University-Long Beach,1,Main Campus,36868,2,34,7
2007,110617,California State University-Sacramento,1,Sacramento State,28829,0,34,0
2007,115755,Humboldt State University,1,Humboldt State University,7773,9,89,37
2007,122409,San Diego State University,1,Main Campus,35695,7,63,53
2007,122755,San Jose State University,1,Main Campus,31906,10,51,42
2007,123572,Sonoma State University,1,Sonoma State University,8770,5,35,38
