Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18079,3,9,1
2001,110529,California State Polytechnic University-Pomona,1,Main Campus,19041,0,33,91
2001,110538,California State University-Chico,1,Main Campus,16704,6,198,801
2001,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12871,0,2,0
2001,110583,California State University-Long Beach,1,Main Campus,33259,0,5,77
2001,110617,California State University-Sacramento,1,Sacramento State,26923,0,23,183
2001,115755,Humboldt State University,1,Humboldt State University,7382,0,3,1
2001,122409,San Diego State University,1,Main Campus,34171,3,102,486
2001,122755,San Jose State University,1,Main Campus,28007,9,18,18
2001,123572,Sonoma State University,1,Sonoma State University,7590,3,59,37
2002,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18453,2,5,4
2002,110529,California State Polytechnic University-Pomona,1,Main Campus,19821,3,21,62
2002,110538,California State University-Chico,1,Main Campus,16246,2,193,669
2002,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13504,1,2,0
2002,110583,California State University-Long Beach,1,Main Campus,34566,1,3,169
2002,110617,California State University-Sacramento,1,Sacramento State,28558,2,20,228
2002,115755,Humboldt State University,1,Humboldt State University,7611,0,114,137
2002,122409,San Diego State University,1,Main Campus,34304,4,84,434
2002,122755,San Jose State University,1,Main Campus,30350,12,14,9
2002,123572,Sonoma State University,1,Sonoma State University,8219,2,85,81
2003,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18303,1,11,3
2003,110529,California State Polytechnic University-Pomona,1,Main Campus,19804,8,29,121
2003,110538,California State University-Chico,1,Main Campus,15516,13,309,1083
2003,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13248,0,3,0
2003,110583,California State University-Long Beach,1,Main Campus,34715,3,15,248
2003,110617,California State University-Sacramento,1,Sacramento State,28375,16,6,310
2003,115755,Humboldt State University,1,Humboldt State University,7725,2,170,37
2003,122409,San Diego State University,1,Main Campus,32803,1,49,491
2003,122755,San Jose State University,1,Main Campus,28932,6,36,26
2003,123572,Sonoma State University,1,Sonoma State University,8371,3,51,95
2004,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,17582,0,3,2
2004,110529,California State Polytechnic University-Pomona,1,Main Campus,19003,3,29,121
2004,110538,California State University-Chico,1,Main Campus,15734,1,65,782
2004,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12613,0,5,0
2004,110583,California State University-Long Beach,1,Main Campus,33479,4,3,271
2004,110617,California State University-Sacramento,1,Sacramento State,27972,3,3,402
2004,115755,Humboldt State University,1,Humboldt State University,7550,3,119,28
2004,122409,San Diego State University,1,Main Campus,32043,6,95,495
2004,122755,San Jose State University,1,Main Campus,29044,4,23,20
2004,123572,Sonoma State University,1,Sonoma State University,7977,1,72,142
2005,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18475,0,2,0
2005,110529,California State Polytechnic University-Pomona,1,Main Campus,19885,6,21,271
2005,110538,California State University-Chico,1,Main Campus,15919,5,31,90
2005,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12357,0,0,0
