Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking,Rape,Fondling,Statutory Rape
2014,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,20186,0,0,2,6,2,0
2014,110529,California State Polytechnic University-Pomona,1,Main Campus,23966,2,0,0,2,2,0
2014,110538,California State University-Chico,1,Main Campus,17287,0,0,0,1,1,0
2014,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14687,0,0,0,0,0,0
2014,110583,California State University-Long Beach,1,Main Campus,36809,0,1,1,0,0,0
2014,110617,California State University-Sacramento,1,Sacramento State,29349,1,0,1,2,1,0
2014,115755,Humboldt State University,1,Humboldt State University,8485,0,0,0,3,1,0
2014,122409,San Diego State University,1,Main Campus,33483,1,2,0,10,1,0
2014,122755,San Jose State University,1,Main Campus,32713,6,2,0,2,7,0
2014,123572,Sonoma State University,1,Sonoma State University,9290,0,0,0,4,2,0
2015,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,20944,0,2,0,5,0,0
2015,110529,California State Polytechnic University-Pomona,1,Main Campus,23717,1,1,4,3,2,0
2015,110538,California State University-Chico,1,Main Campus,17220,0,0,0,2,1,0
2015,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14635,0,2,0,0,2,0
2015,110583,California State University-Long Beach,1,Main Campus,37446,0,0,0,3,1,1
2015,110617,California State University-Sacramento,1,Sacramento State,30284,0,5,2,1,2,0
2015,115755,Humboldt State University,1,Humboldt State University,8790,0,0,0,5,3,0
2015,122409,San Diego State University,1,Main Campus,34254,2,4,0,7,4,0
2015,122755,San Jose State University,1,Main Campus,32773,0,4,1,2,2,0
2015,123572,Sonoma State University,1,Sonoma State University,9408,1,0,0,4,4,0
