Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,110635,University of California-Berkeley,1,Main Campus,32128,6,134,218
2001,110644,University of California-Davis,1,Main Campus,27292,2,18,13
2001,110398,University of California-Hastings College of Law,1,Main Campus,1252,0,0,0
2001,110653,University of California-Irvine,1,UCI Main Campus,21885,2,16,2
2001,110662,University of California-Los Angeles,1,UCLA,37494,0,28,10
2001,110671,University of California-Riverside,1,Main Campus,14429,5,24,1
2001,110680,University of California-San Diego,1,Main Campus,21558,1,6,21
2001,110699,University of California-San Francisco,1,Main Campus - Parnassus,3574,0,2,2
2001,110705,University of California-Santa Barbara,1,Main Campus,20373,0,58,40
2001,110714,University of California-Santa Cruz,1,Main Campus,13170,0,13,16
2002,110635,University of California-Berkeley,1,Main Campus,33145,16,74,90
2002,110644,University of California-Davis,1,Main Campus,29087,0,18,5
2002,110398,University of California-Hastings College of Law,1,Main Campus,1263,0,0,0
2002,110653,University of California-Irvine,1,UCI Main Campus,23779,10,28,8
2002,110662,University of California-Los Angeles,1,UCLA,37599,9,8,2
2002,110671,University of California-Riverside,1,Main Campus,15934,4,14,1
2002,110680,University of California-San Diego,1,Main Campus,23528,3,32,33
2002,110699,University of California-San Francisco,1,Main Campus - Parnassus,3527,1,6,0
2002,110705,University of California-Santa Barbara,1,Main Campus,20559,2,53,57
2002,110714,University of California-Santa Cruz,1,Main Campus,14139,2,28,18
2003,110635,University of California-Berkeley,1,Main Campus,33065,10,110,43
2003,110644,University of California-Davis,1,Main Campus,29402,0,11,2
2003,110398,University of California-Hastings College of Law,1,Main Campus,1257,0,0,0
2003,110653,University of California-Irvine,1,UCI Main Campus,24273,5,39,13
2003,110662,University of California-Los Angeles,1,UCLA,37055,5,9,5
2003,110671,University of California-Riverside,1,Main Campus,17296,1,20,0
2003,110680,University of California-San Diego,1,Main Campus,24105,0,16,25
2003,110699,University of California-San Francisco,1,Main Campus - Parnassus,2763,2,1,0
2003,110705,University of California-Santa Barbara,1,Main Campus,20847,3,43,56
2003,110714,University of California-Santa Cruz,1,Main Campus,14997,3,12,8
2004,110635,University of California-Berkeley,1,Main Campus,32803,14,180,107
2004,110644,University of California-Davis,1,Main Campus,29210,4,10,0
2004,110398,University of California-Hastings College of Law,1,Main Campus,1269,0,0,0
2004,110653,University of California-Irvine,1,UCI Main Campus,24344,4,27,11
2004,110662,University of California-Los Angeles,1,UCLA,35966,9,18,4
2004,445188,University of California-Merced,1,Main Campus,,0,0,0
2004,110671,University of California-Riverside,1,Main Campus,17104,1,19,2
2004,110680,University of California-San Diego,1,Main Campus,24663,2,18,46
2004,110699,University of California-San Francisco,1,Main Campus - Parnassus,2754,0,1,0
2004,110705,University of California-Santa Barbara,1,Main Campus,21026,5,59,60
2004,110714,University of California-Santa Cruz,1,Main Campus,15036,0,9,12
2005,110635,University of California-Berkeley,1,Main Campus,33547,13,111,148
2005,110644,University of California-Davis,1,Main Campus,28815,1,13,0
2005,110398,University of California-Hastings College of Law,1,Main Campus,1286,0,1,0
2005,110653,University of California-Irvine,1,UCI Main Campus,24400,3,44,3
2005,110662,University of California-Los Angeles,1,UCLA,35625,6,22,1
2005,445188,University of California-Merced,1,Main Campus,878,0,0,4
2005,110671,University of California-Riverside,1,Main Campus,16622,2,18,0
2005,110680,University of California-San Diego,1,Main Campus,25320,3,10,33
2005,110699,University of California-San Francisco,1,Main Campus - Parnassus,2863,2,0,0
2005,110705,University of California-Santa Barbara,1,Main Campus,21016,7,72,44
2005,110714,University of California-Santa Cruz,1,Main Campus,15012,1,2,7
2006,110635,University of California-Berkeley,1,Main Campus,33920,17,164,269
2006,110644,University of California-Davis,1,Main Campus,29628,4,16,5
2006,110398,University of California-Hastings College of Law,1,Main Campus,1272,0,1,0
2006,110653,University of California-Irvine,1,UCI Main Campus,25230,4,52,5
2006,110662,University of California-Los Angeles,1,UCLA,36611,6,22,5
2006,445188,University of California-Merced,1,Main Campus,1286,0,12,3
2006,110671,University of California-Riverside,1,Main Campus,16875,4,34,1
2006,110680,University of California-San Diego,1,Main Campus,26247,6,34,30
2006,110699,University of California-San Francisco,1,Main Campus - Parnassus,2943,2,0,0
2006,110705,University of California-Santa Barbara,1,Main Campus,21082,3,109,59
2006,110714,University of California-Santa Cruz,1,Main Campus,15364,1,6,3
2007,110635,University of California-Berkeley,1,Main Campus,34940,18,122,274
2007,110644,University of California-Davis,1,Main Campus,29796,3,15,9
2007,110398,University of California-Hastings College of Law,1,Main Campus,1262,1,2,0
2007,110653,University of California-Irvine,1,UCI Main Campus,26483,5,57,42
2007,110662,University of California-Los Angeles,1,UCLA,37476,4,15,21
2007,445188,University of California-Merced,1,Main Campus,1871,1,2,7
2007,110671,University of California-Riverside,1,Main Campus,17187,3,9,2
2007,110680,University of California-San Diego,1,Main Campus,27020,2,56,87
2007,110699,University of California-San Francisco,1,Main Campus - Parnassus,2999,0,4,0
2007,110705,University of California-Santa Barbara,1,Main Campus,21410,3,86,84
2007,110714,University of California-Santa Cruz,1,Main Campus,15825,0,11,2
2008,110635,University of California-Berkeley,1,Main Campus,35396,22,83,186
2008,110644,University of California-Davis,1,Main Campus,30568,0,34,16
2008,110398,University of California-Hastings College of Law,1,Main Campus,1306,0,0,0
2008,110653,University of California-Irvine,1,UCI Main Campus,26984,4,64,56
2008,110662,University of California-Los Angeles,1,UCLA,38220,3,18,3
2008,445188,University of California-Merced,1,Main Campus,2718,1,3,3
2008,110671,University of California-Riverside,1,Main Campus,18079,3,21,2
2008,110680,University of California-San Diego,1,Main Campus,27520,5,41,124
2008,110699,University of California-San Francisco,1,Main Campus - Parnassus,2998,0,2,0
2008,110705,University of California-Santa Barbara,1,Main Campus,21868,4,68,62
2008,110714,University of California-Santa Cruz,1,Main Campus,16615,5,9,2
2009,110635,University of California-Berkeley,1,Main Campus,35830,24,103,188
2009,110644,University of California-Davis,1,Main Campus,31247,2,21,12
2009,110398,University of California-Hastings College of Law,1,Main Campus,1347,0,6,0
2009,110653,University of California-Irvine,1,UCI Main Campus,27142,4,75,53
2009,110662,University of California-Los Angeles,1,UCLA,38550,2,31,12
2009,445188,University of California-Merced,1,Main Campus,3414,0,4,2
2009,110671,University of California-Riverside,1,Main Campus,19384,2,22,1
2009,110680,University of California-San Diego,1,Main Campus,28418,0,32,74
2009,110699,University of California-San Francisco,1,Main Campus - Parnassus,3119,0,3,0
2009,110705,University of California-Santa Barbara,1,Main Campus,22850,5,74,71
2009,110714,University of California-Santa Cruz,1,Main Campus,16775,4,7,2
2010,110635,University of California-Berkeley,1,Main Campus,35833,20,115,147
2010,110644,University of California-Davis,1,Main Campus,31392,3,15,38
2010,110398,University of California-Hastings College of Law,1,Main Campus,1304,0,0,0
2010,110653,University of California-Irvine,1,UCI Main Campus,26994,2,46,24
2010,110662,University of California-Los Angeles,1,UCLA,38157,6,24,5
2010,445188,University of California-Merced,1,Main Campus,4381,0,4,2
2010,110671,University of California-Riverside,1,Main Campus,20692,1,22,2
2010,110680,University of California-San Diego,1,Main Campus,29176,1,13,57
2010,110699,University of California-San Francisco,1,Main Campus - Parnassus,3024,1,0,0
2010,110705,University of California-Santa Barbara,1,Main Campus,22218,6,54,75
2010,110714,University of California-Santa Cruz,1,Main Campus,17187,4,2,2
2011,110635,University of California-Berkeley,1,Main Campus,36137,27,177,159
2011,110644,University of California-Davis,1,Main Campus,31732,3,12,41
2011,110398,University of California-Hastings College of Law,1,Main Campus,1289,0,0,0
2011,110653,University of California-Irvine,1,UCI Main Campus,27189,0,37,50
2011,110662,University of California-Los Angeles,1,UCLA,39271,7,10,0
2011,445188,University of California-Merced,1,Main Campus,5198,0,11,0
2011,110671,University of California-Riverside,1,Main Campus,20900,2,4,3
2011,110680,University of California-San Diego,1,Main Campus,28593,1,22,108
2011,110699,University of California-San Francisco,1,Main Campus - Parnassus,3054,2,8,0
2011,110705,University of California-Santa Barbara,1,Main Campus,21685,2,52,37
2011,110714,University of California-Santa Cruz,1,Main Campus,17454,2,4,2
2012,110635,University of California-Berkeley,1,Main Campus,35893,14,180,85
2012,110644,University of California-Davis,1,Main Campus,32354,1,15,29
2012,110398,University of California-Hastings College of Law,1,Main Campus,1159,0,1,0
2012,110653,University of California-Irvine,1,UCI Main Campus,27479,0,37,25
2012,110662,University of California-Los Angeles,1,UCLA,39945,4,19,2
2012,445188,University of California-Merced,1,Main Campus,5760,0,8,0
2012,110671,University of California-Riverside,1,Main Campus,20947,3,7,24
2012,110680,University of California-San Diego,1,Main Campus,28294,0,24,36
2012,110699,University of California-San Francisco,1,Main Campus - Parnassus,3137,0,1,0
2012,110705,University of California-Santa Barbara,1,Main Campus,21927,6,42,30
2012,110714,University of California-Santa Cruz,1,Main Campus,17404,5,5,6
2013,110635,University of California-Berkeley,1,Main Campus,36198,30,180,63
2013,110644,University of California-Davis,1,Main Campus,33307,2,1,47
2013,110398,University of California-Hastings College of Law,1,Main Campus,1088,0,0,0
2013,110653,University of California-Irvine,1,UCI Main Campus,28895,7,60,29
2013,110662,University of California-Los Angeles,1,UCLA,40795,0,14,5
2013,445188,University of California-Merced,1,Main Campus,6195,0,5,0
2013,110671,University of California-Riverside,1,Main Campus,21207,6,12,1
2013,110680,University of California-San Diego,1,Main Campus,29517,6,41,69
2013,110699,University of California-San Francisco,1,Main Campus - Parnassus,3079,4,7,0
2013,110705,University of California-Santa Barbara,1,Main Campus,22225,6,33,53
2013,110714,University of California-Santa Cruz,1,Main Campus,17203,4,5,3
2014,110635,University of California-Berkeley,1,Main Campus,37565,31,76,35
2014,110644,University of California-Davis,1,Main Campus,34508,4,6,45
2014,110398,University of California-Hastings College of Law,1,Main Campus,1003,0,0,0
2014,110653,University of California-Irvine,1,UCI Main Campus,30051,10,30,23
2014,110662,University of California-Los Angeles,1,UCLA,41845,0,16,8
2014,445188,University of California-Merced,1,Main Campus,6268,0,3,0
2014,110671,University of California-Riverside,1,Main Campus,21498,2,6,8
2014,110680,University of California-San Diego,1,Main Campus,30709,8,47,248
2014,110699,University of California-San Francisco,1,Main Campus - Parnassus,3170,4,6,0
2014,110705,University of California-Santa Barbara,1,Main Campus,23051,4,13,74
2014,110714,University of California-Santa Cruz,1,Main Campus,17866,4,6,1
2015,110635,University of California-Berkeley,1,Main Campus,38189,15,61,24
2015,110644,University of California-Davis,1,Main Campus,35186,7,9,50
2015,110398,University of California-Hastings College of Law,1,Main Campus,950,0,0,0
2015,110653,University of California-Irvine,1,UCI Main Campus,30836,3,6,9
2015,110662,University of California-Los Angeles,1,UCLA,41908,5,19,11
2015,445188,University of California-Merced,1,Main Campus,6685,2,0,0
2015,110671,University of California-Riverside,1,Main Campus,21385,2,17,0
2015,110680,University of California-San Diego,1,Main Campus,32906,8,31,68
2015,110699,University of California-San Francisco,1,Main Campus - Parnassus,3107,0,7,0
2015,110705,University of California-Santa Barbara,1,Main Campus,23497,4,18,66
2015,110714,University of California-Santa Cruz,1,Main Campus,17868,3,18,6
