Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,110635,University of California-Berkeley,1,Main Campus,32128,5,0,28
2001,110644,University of California-Davis,1,Main Campus,27292,1,6,6
2001,110398,University of California-Hastings College of Law,1,Main Campus,1252,0,0,0
2001,110653,University of California-Irvine,1,UCI Main Campus,21885,0,0,0
2001,110662,University of California-Los Angeles,1,UCLA,37494,0,5,3
2001,110671,University of California-Riverside,1,Main Campus,14429,0,0,2
2001,110680,University of California-San Diego,1,Main Campus,21558,0,0,0
2001,110699,University of California-San Francisco,1,Main Campus - Parnassus,3574,0,0,0
2001,110705,University of California-Santa Barbara,1,Main Campus,20373,0,0,0
2001,110714,University of California-Santa Cruz,1,Main Campus,13170,0,0,0
2002,110635,University of California-Berkeley,1,Main Campus,33145,1,2,6
2002,110644,University of California-Davis,1,Main Campus,29087,0,0,4
2002,110653,University of California-Irvine,1,UCI Main Campus,23779,0,0,0
2002,110662,University of California-Los Angeles,1,UCLA,37599,0,0,0
2002,110671,University of California-Riverside,1,Main Campus,15934,0,0,0
2002,110680,University of California-San Diego,1,Main Campus,23528,0,0,0
2002,110699,University of California-San Francisco,1,Main Campus - Parnassus,3527,0,2,0
2002,110705,University of California-Santa Barbara,1,Main Campus,20559,0,0,0
2002,110714,University of California-Santa Cruz,1,Main Campus,14139,0,0,0
2003,110635,University of California-Berkeley,1,Main Campus,33065,1,0,4
2003,110644,University of California-Davis,1,Main Campus,29402,0,2,0
2003,110653,University of California-Irvine,1,UCI Main Campus,24273,0,2,0
2003,110662,University of California-Los Angeles,1,UCLA,37055,0,2,23
2003,110671,University of California-Riverside,1,Main Campus,17296,0,0,0
2003,110680,University of California-San Diego,1,Main Campus,24105,0,0,0
2003,110699,University of California-San Francisco,1,Main Campus - Parnassus,2763,0,0,0
2003,110705,University of California-Santa Barbara,1,Main Campus,20847,0,0,0
2003,110714,University of California-Santa Cruz,1,Main Campus,14997,0,0,0
2004,110635,University of California-Berkeley,1,Main Campus,32803,1,0,0
2004,110644,University of California-Davis,1,Main Campus,29210,0,5,13
2004,110653,University of California-Irvine,1,UCI Main Campus,24344,0,0,0
2004,110662,University of California-Los Angeles,1,UCLA,35966,0,0,3
2004,445188,University of California-Merced,1,Main Campus,,0,0,0
2004,110671,University of California-Riverside,1,Main Campus,17104,0,0,0
2004,110680,University of California-San Diego,1,Main Campus,24663,0,0,0
2004,110699,University of California-San Francisco,1,Main Campus - Parnassus,2754,0,0,0
2004,110705,University of California-Santa Barbara,1,Main Campus,21026,0,0,0
2004,110714,University of California-Santa Cruz,1,Main Campus,15036,0,0,0
2005,110635,University of California-Berkeley,1,Main Campus,33547,0,0,1
2005,110644,University of California-Davis,1,Main Campus,28815,0,5,0
2005,110653,University of California-Irvine,1,UCI Main Campus,24400,0,0,0
2005,110662,University of California-Los Angeles,1,UCLA,35625,2,0,2
2005,445188,University of California-Merced,1,Main Campus,878,0,0,0
2005,110671,University of California-Riverside,1,Main Campus,16622,0,0,0
2005,110680,University of California-San Diego,1,Main Campus,25320,0,0,0
2005,110699,University of California-San Francisco,1,Main Campus - Parnassus,2863,0,0,0
2005,110705,University of California-Santa Barbara,1,Main Campus,21016,0,0,0
2005,110714,University of California-Santa Cruz,1,Main Campus,15012,0,0,0
2006,110635,University of California-Berkeley,1,Main Campus,33920,2,1,13
2006,110644,University of California-Davis,1,Main Campus,29628,0,1,0
2006,110653,University of California-Irvine,1,UCI Main Campus,25230,0,0,0
2006,110662,University of California-Los Angeles,1,UCLA,36611,0,0,1
2006,445188,University of California-Merced,1,Main Campus,1286,0,0,0
2006,110671,University of California-Riverside,1,Main Campus,16875,0,0,0
2006,110680,University of California-San Diego,1,Main Campus,26247,0,0,0
2006,110699,University of California-San Francisco,1,Main Campus - Parnassus,2943,0,0,0
2006,110705,University of California-Santa Barbara,1,Main Campus,21082,0,0,0
2006,110714,University of California-Santa Cruz,1,Main Campus,15364,0,2,14
2007,110635,University of California-Berkeley,1,Main Campus,34940,0,0,19
2007,110644,University of California-Davis,1,Main Campus,29796,0,0,1
2007,110653,University of California-Irvine,1,UCI Main Campus,26483,0,0,0
2007,110662,University of California-Los Angeles,1,UCLA,37476,0,0,0
2007,445188,University of California-Merced,1,Main Campus,1871,0,0,0
2007,110671,University of California-Riverside,1,Main Campus,17187,0,0,0
2007,110680,University of California-San Diego,1,Main Campus,27020,0,0,0
2007,110699,University of California-San Francisco,1,Main Campus - Parnassus,2999,0,0,0
2007,110705,University of California-Santa Barbara,1,Main Campus,21410,0,0,0
2007,110714,University of California-Santa Cruz,1,Main Campus,15825,0,0,0
2008,110635,University of California-Berkeley,1,Main Campus,35396,0,1,1
2008,110644,University of California-Davis,1,Main Campus,30568,0,0,1
2008,110653,University of California-Irvine,1,UCI Main Campus,26984,0,0,0
2008,110662,University of California-Los Angeles,1,UCLA,38220,0,0,0
2008,445188,University of California-Merced,1,Main Campus,2718,0,0,0
2008,110671,University of California-Riverside,1,Main Campus,18079,0,0,0
2008,110680,University of California-San Diego,1,Main Campus,27520,0,0,0
2008,110699,University of California-San Francisco,1,Main Campus - Parnassus,2998,0,0,0
2008,110705,University of California-Santa Barbara,1,Main Campus,21868,0,0,0
2008,110714,University of California-Santa Cruz,1,Main Campus,16615,0,0,7
2009,110635,University of California-Berkeley,1,Main Campus,35830,0,1,33
2009,110644,University of California-Davis,1,Main Campus,31247,0,0,0
2009,110653,University of California-Irvine,1,UCI Main Campus,27142,0,0,0
2009,110662,University of California-Los Angeles,1,UCLA,38550,0,0,0
2009,445188,University of California-Merced,1,Main Campus,3414,0,0,0
2009,110671,University of California-Riverside,1,Main Campus,19384,0,0,0
2009,110680,University of California-San Diego,1,Main Campus,28418,0,0,0
2009,110699,University of California-San Francisco,1,Main Campus - Parnassus,3119,0,0,0
2009,110705,University of California-Santa Barbara,1,Main Campus,22850,0,0,0
2009,110714,University of California-Santa Cruz,1,Main Campus,16775,0,0,3
2010,110635,University of California-Berkeley,1,Main Campus,35833,0,5,21
2010,110644,University of California-Davis,1,Main Campus,31392,0,0,4
2010,110653,University of California-Irvine,1,UCI Main Campus,26994,0,0,0
2010,110662,University of California-Los Angeles,1,UCLA,38157,0,0,0
2010,445188,University of California-Merced,1,Main Campus,4381,0,0,0
2010,110671,University of California-Riverside,1,Main Campus,20692,0,0,0
2010,110680,University of California-San Diego,1,Main Campus,29176,0,0,0
2010,110699,University of California-San Francisco,1,Main Campus - Parnassus,3024,0,0,0
2010,110705,University of California-Santa Barbara,1,Main Campus,22218,1,0,0
2010,110714,University of California-Santa Cruz,1,Main Campus,17187,1,1,15
2011,110635,University of California-Berkeley,1,Main Campus,36137,0,2,74
2011,110644,University of California-Davis,1,Main Campus,31732,0,0,2
2011,110653,University of California-Irvine,1,UCI Main Campus,27189,0,0,0
2011,110662,University of California-Los Angeles,1,UCLA,39271,0,0,1
2011,445188,University of California-Merced,1,Main Campus,5198,0,0,0
2011,110671,University of California-Riverside,1,Main Campus,20900,0,0,0
2011,110680,University of California-San Diego,1,Main Campus,28593,0,0,0
2011,110699,University of California-San Francisco,1,Main Campus - Parnassus,3054,0,0,0
2011,110705,University of California-Santa Barbara,1,Main Campus,21685,0,0,0
2011,110714,University of California-Santa Cruz,1,Main Campus,17454,0,1,31
2012,110635,University of California-Berkeley,1,Main Campus,35893,1,0,10
2012,110644,University of California-Davis,1,Main Campus,32354,0,0,0
2012,110653,University of California-Irvine,1,UCI Main Campus,27479,0,0,0
2012,110662,University of California-Los Angeles,1,UCLA,39945,0,0,0
2012,445188,University of California-Merced,1,Main Campus,5760,0,0,0
2012,110671,University of California-Riverside,1,Main Campus,20947,0,0,0
2012,110680,University of California-San Diego,1,Main Campus,28294,0,0,0
2012,110699,University of California-San Francisco,1,Main Campus - Parnassus,3137,0,0,0
2012,110705,University of California-Santa Barbara,1,Main Campus,21927,0,0,0
2012,110714,University of California-Santa Cruz,1,Main Campus,17404,0,2,5
2013,110635,University of California-Berkeley,1,Main Campus,36198,0,0,2
2013,110644,University of California-Davis,1,Main Campus,33307,0,1,0
2013,110653,University of California-Irvine,1,UCI Main Campus,28895,0,0,0
2013,110662,University of California-Los Angeles,1,UCLA,40795,0,0,0
2013,445188,University of California-Merced,1,Main Campus,6195,0,0,0
2013,110671,University of California-Riverside,1,Main Campus,21207,0,0,0
2013,110680,University of California-San Diego,1,Main Campus,29517,0,3,0
2013,110699,University of California-San Francisco,1,Main Campus - Parnassus,3079,0,0,0
2013,110705,University of California-Santa Barbara,1,Main Campus,22225,0,0,0
2013,110714,University of California-Santa Cruz,1,Main Campus,17203,0,0,0
2014,110635,University of California-Berkeley,1,Main Campus,37565,0,3,1
2014,110644,University of California-Davis,1,Main Campus,34508,0,0,0
2014,110653,University of California-Irvine,1,UCI Main Campus,30051,0,0,0
2014,110662,University of California-Los Angeles,1,UCLA,41845,0,0,0
2014,445188,University of California-Merced,1,Main Campus,6268,0,0,0
2014,110671,University of California-Riverside,1,Main Campus,21498,0,0,0
2014,110680,University of California-San Diego,1,Main Campus,30709,0,0,0
2014,110699,University of California-San Francisco,1,Main Campus - Parnassus,3170,0,0,0
2014,110705,University of California-Santa Barbara,1,Main Campus,23051,0,0,0
2014,110714,University of California-Santa Cruz,1,Main Campus,17866,0,0,0
2015,110635,University of California-Berkeley,1,Main Campus,38189,0,0,0
2015,110644,University of California-Davis,1,Main Campus,35186,0,0,0
2015,110653,University of California-Irvine,1,UCI Main Campus,30836,0,0,0
2015,110662,University of California-Los Angeles,1,UCLA,41908,0,0,0
2015,445188,University of California-Merced,1,Main Campus,6685,0,0,0
2015,110671,University of California-Riverside,1,Main Campus,21385,0,0,0
2015,110680,University of California-San Diego,1,Main Campus,32906,0,0,0
2015,110699,University of California-San Francisco,1,Main Campus - Parnassus,3107,0,0,0
2015,110705,University of California-Santa Barbara,1,Main Campus,23497,0,7,0
2015,110714,University of California-Santa Cruz,1,Main Campus,17868,0,5,4
