Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,109651,Art Center College of Design,1,Hillside Campus,1465,0,0,0,,,0,,,0,0,0,0,0
2001,109785,Azusa Pacific University,1,Azusa (main campus),6835,0,0,0,,,0,,,0,0,0,0,1
2001,110097,Biola University,1,Main Campus,4317,0,0,0,,,0,,,0,0,0,0,0
2001,262086,Brandman University,1,Main Campus & Administration - Irvine,4779,0,0,0,,,0,,,0,0,0,0,0
2001,110361,California Baptist University,1,Main Campus,2090,0,0,0,,,0,,,0,0,0,0,0
2001,110404,California Institute of Technology,1,Main Campus,2058,0,0,0,,,0,,,0,0,0,0,0
2001,110413,California Lutheran University,1,Main Campus,2857,0,0,0,,,0,,,0,0,0,0,0
2001,111948,Chapman University,1,Orange Campus,4591,0,0,0,,,0,,,0,0,1,0,0
2001,112251,Claremont Graduate University,1,Main Campus,1944,0,0,0,,,0,,,0,0,0,0,0
2001,112075,Concordia University-Irvine,1,Main Campus,1314,0,0,0,,,0,,,0,0,0,0,0
2001,114813,Fresno Pacific University,1,FRESNO PACIFIC UNIVERSITY,2016,0,0,0,,,0,,,0,0,0,0,0
2001,114840,Fuller Theological Seminary in California,1,Fuller Pasadena,2599,0,0,0,,,0,,,0,0,12,2,0
2001,115083,Golden Gate University-San Francisco,1,San Francisco,4843,0,0,0,,,0,,,0,0,0,0,0
2001,117627,La Sierra University,1,La Sierra University,1566,0,0,0,,,0,,,0,0,0,0,0
2001,117636,Loma Linda University,1,Loma Linda University,3162,0,0,0,,,0,,,0,0,0,0,0
2001,117946,Loyola Marymount University,1,Westchester Campus,7921,0,0,1,,,0,,,0,0,1,0,0
2001,119173,Mount Saint Mary's University,1,Chalon,1965,0,0,0,,,0,,,0,0,0,0,0
2001,119605,National University,1,NATIONAL UNIVERSITY,18267,0,0,0,,,0,,,0,0,0,0,0
2001,120254,Occidental College,1,Occidental College,1796,0,0,0,,,0,,,1,0,2,0,0
2001,121150,Pepperdine University,1,Malibu - Main Campus,7383,0,0,0,,,0,,,0,1,0,0,0
2001,121309,Point Loma Nazarene University,1,Point Loma Nazerene University Main Campus,2881,0,0,0,,,0,,,0,0,0,0,0
2001,123554,Saint Mary's College of California,1,Main Campus,4127,0,0,0,,,0,,,0,0,0,0,0
2001,122931,Santa Clara University,1,Main Campus - Santa Clara University,7368,0,0,0,,,0,,,0,0,0,0,1
2001,243744,Stanford University,1,Main Campus,18591,0,0,1,,,2,,,0,2,43,6,0
2001,117140,University of La Verne,1,MAIN CAMPUS,7283,0,0,0,,,0,,,0,0,0,0,0
2001,121691,University of Redlands,1,Main Campus,4224,0,0,0,,,0,,,0,0,0,0,0
2001,122436,University of San Diego,1,UNIVERSITY OF SAN DIEGO,7062,0,0,0,,,0,,,0,0,0,0,0
2001,122612,University of San Francisco,1,Hilltop Campus (San Francisco),8063,0,0,0,,,0,,,1,0,0,0,0
2001,123961,University of Southern California,1,University Park Campus,29813,0,0,6,,,0,,,16,4,49,24,0
2001,120883,University of the Pacific,1,Main Campus,5697,0,0,0,,,0,,,0,0,0,0,0
2001,123651,Vanguard University of Southern California,1,Vanguard University of Southern California,1827,0,0,0,,,0,,,0,0,0,0,0
2001,123651,Vanguard University of Southern California,2,Vanguard University - CINCEL,1827,0,0,0,,,0,,,0,0,0,0,0
2001,123651,Vanguard University of Southern California,5,Vanguard University - Culver City,1827,0,0,0,,,0,,,0,0,0,0,0
2001,123651,Vanguard University of Southern California,8,Vanguard Center,1827,0,0,0,,,0,,,0,0,0,0,0
2001,112525,Western University of Health Sciences,1,Western University of Health Sciences,1435,0,0,0,,,0,,,0,0,0,0,0
2001,125763,Whittier College,1,Main Campus,2098,0,0,0,,,0,,,0,0,0,0,0
2002,110097,Biola University,1,Main Campus,4535,0,0,0,,,0,,,0,0,0,5,0
2002,262086,Brandman University,1,Main Campus & Administration - Irvine,8443,0,0,0,,,0,,,0,0,0,0,0
2002,110361,California Baptist University,1,Main Campus,2165,0,0,0,,,0,,,0,0,0,0,0
2002,110404,California Institute of Technology,1,Main Campus,2120,0,0,0,,,0,,,0,1,0,1,0
2002,114813,Fresno Pacific University,1,FRESNO PACIFIC UNIVERSITY,2347,0,0,0,,,0,,,0,0,0,0,0
2002,117636,Loma Linda University,1,Loma Linda University,3297,0,0,0,,,0,,,0,0,0,0,0
2002,119605,National University,1,NATIONAL UNIVERSITY,17865,0,0,0,,,0,,,0,2,6,0,0
2002,120254,Occidental College,1,Occidental College,1832,0,0,0,,,0,,,0,0,1,1,0
2002,121309,Point Loma Nazarene University,1,Point Loma Nazerene University Main Campus,2998,0,0,0,,,0,,,0,0,0,1,0
2002,123554,Saint Mary's College of California,1,Main Campus,4442,0,0,0,,,0,,,0,0,0,0,0
2002,122931,Santa Clara University,1,Main Campus - Santa Clara University,7811,0,0,0,,,0,,,0,0,0,0,0
2002,243744,Stanford University,1,Main Campus,18297,0,0,4,,,0,,,3,2,42,9,0
2002,117140,University of La Verne,1,MAIN CAMPUS,7519,0,0,0,,,0,,,0,0,0,0,0
2002,121691,University of Redlands,1,Main Campus,4297,0,0,0,,,0,,,0,0,0,0,0
2002,122436,University of San Diego,1,UNIVERSITY OF SAN DIEGO,7126,0,0,0,,,0,,,0,0,0,0,0
2002,122612,University of San Francisco,1,Hilltop Campus (San Francisco),8194,0,0,0,,,0,,,0,0,1,0,0
2002,123961,University of Southern California,1,University Park Campus,30682,0,0,9,,,0,,,14,3,37,10,0
2002,120883,University of the Pacific,1,Main Campus,5886,0,0,0,,,0,,,0,0,1,0,0
2002,112525,Western University of Health Sciences,1,Western University of Health Sciences,1400,0,0,0,,,0,,,0,0,0,0,0
2003,109785,Azusa Pacific University,1,Azusa (main campus),8188,0,0,0,,,0,,,0,0,0,0,0
2003,110097,Biola University,1,Main Campus,5084,0,0,1,,,0,,,0,0,1,8,0
2003,262086,Brandman University,1,Main Campus & Administration - Irvine,6275,0,0,0,,,0,,,0,0,0,0,0
2003,110361,California Baptist University,1,Main Campus,2359,0,0,0,,,0,,,0,0,0,0,0
2003,110404,California Institute of Technology,1,Main Campus,2172,0,0,1,,,0,,,0,0,1,1,0
2003,114813,Fresno Pacific University,1,FRESNO PACIFIC UNIVERSITY,2167,0,0,0,,,0,,,0,0,0,0,0
2003,114840,Fuller Theological Seminary in California,1,Fuller Pasadena,2812,0,0,0,,,0,,,0,0,0,0,0
2003,117636,Loma Linda University,1,Loma Linda University,3501,0,0,0,,,0,,,0,0,0,0,0
2003,119605,National University,1,NATIONAL UNIVERSITY,17064,0,0,0,,,0,,,3,1,7,3,1
2003,121309,Point Loma Nazarene University,1,Point Loma Nazerene University Main Campus,3219,0,0,0,,,0,,,0,0,0,0,0
2003,122931,Santa Clara University,1,Main Campus - Santa Clara University,7794,0,0,0,,,0,,,0,0,2,0,0
2003,243744,Stanford University,1,Main Campus,17824,0,0,3,,,0,,,2,0,48,4,0
2003,117140,University of La Verne,1,MAIN CAMPUS,7471,0,0,0,,,0,,,0,0,1,0,0
2003,121691,University of Redlands,1,Main Campus,4366,0,0,0,,,0,,,0,0,0,0,0
2003,122436,University of San Diego,1,UNIVERSITY OF SAN DIEGO,7395,0,0,0,,,0,,,0,0,0,0,0
2003,122612,University of San Francisco,1,Hilltop Campus (San Francisco),8159,0,0,0,,,0,,,0,0,1,0,0
2003,123961,University of Southern California,1,University Park Campus,31606,0,0,8,,,0,,,26,4,42,8,0
2003,120883,University of the Pacific,1,Main Campus,6121,0,0,0,,,0,,,0,0,0,0,0
2003,125763,Whittier College,1,Main Campus,2275,0,0,0,,,0,,,0,0,0,0,0
2004,109785,Azusa Pacific University,1,Azusa (main campus),8162,0,0,0,,,0,,,0,0,0,0,0
2004,110097,Biola University,1,Main Campus,5362,0,0,1,,,0,,,0,0,1,0,0
2004,262086,Brandman University,1,Main Campus & Administration - Irvine,6033,0,0,0,,,0,,,0,0,0,0,0
2004,110361,California Baptist University,1,Main Campus,2905,0,0,0,,,0,,,0,0,0,2,0
2004,110404,California Institute of Technology,1,Main Campus,2171,0,0,1,,,0,,,0,0,5,5,0
2004,111948,Chapman University,1,Orange Campus,5554,0,0,0,,,0,,,0,0,0,0,0
2004,114813,Fresno Pacific University,1,FRESNO PACIFIC UNIVERSITY,2019,0,0,0,,,0,,,1,0,0,1,0
2004,117946,Loyola Marymount University,1,Westchester Campus,8770,0,0,0,,,0,,,0,0,0,0,0
2004,119605,National University,1,NATIONAL UNIVERSITY,25684,0,0,0,,,0,,,1,0,6,1,0
2004,120254,Occidental College,1,Occidental College,1887,0,0,0,,,0,,,0,0,0,0,0
2004,121309,Point Loma Nazarene University,1,Point Loma Nazerene University Main Campus,3209,0,0,0,,,0,,,0,0,0,0,0
2004,122931,Santa Clara University,1,Main Campus - Santa Clara University,7908,0,0,0,,,0,,,0,0,0,0,0
2004,243744,Stanford University,1,Main Campus,18836,0,0,5,,,0,,,5,1,60,15,0
2004,117140,University of La Verne,1,MAIN CAMPUS,8140,0,0,0,,,0,,,0,0,0,0,0
2004,121691,University of Redlands,1,Main Campus,4519,0,0,0,,,0,,,0,0,0,0,0
2004,122436,University of San Diego,1,UNIVERSITY OF SAN DIEGO,7599,0,0,0,,,0,,,0,0,0,0,0
2004,122612,University of San Francisco,1,Hilltop Campus (San Francisco),8271,0,0,0,,,0,,,0,0,0,0,0
2004,123961,University of Southern California,1,University Park Campus,32160,0,0,3,,,0,,,24,4,40,13,1
2004,120883,University of the Pacific,1,Main Campus,6268,0,0,0,,,0,,,0,0,1,0,0
2004,123651,Vanguard University of Southern California,9,Hyundai Motor America,2195,0,0,0,,,0,,,0,0,0,0,0
2004,125763,Whittier College,1,Main Campus,2458,0,0,0,,,0,,,0,0,0,0,0
2005,109785,Azusa Pacific University,1,Azusa (main campus),8327,0,0,0,,,0,,,0,0,0,0,0
2005,110097,Biola University,1,Main Campus,5658,0,0,0,,,0,,,0,0,2,4,0
2005,262086,Brandman University,1,Main Campus & Administration - Irvine,6052,0,0,0,,,0,,,0,0,0,1,0
2005,110404,California Institute of Technology,1,Main Campus,2169,0,0,0,,,0,,,0,0,3,0,0
2005,110413,California Lutheran University,1,Main Campus,3212,0,0,0,,,0,,,0,0,0,0,0
2005,111948,Chapman University,1,Orange Campus,5732,0,0,0,,,0,,,1,0,0,1,0
2005,114813,Fresno Pacific University,1,FRESNO PACIFIC UNIVERSITY,1996,0,0,0,,,0,,,0,0,3,10,0
2005,117636,Loma Linda University,1,Loma Linda University,3854,0,0,0,,,0,,,0,0,0,0,0
2005,117946,Loyola Marymount University,1,Westchester Campus,8865,0,0,0,,,0,,,0,0,0,0,0
2005,119605,National University,1,NATIONAL UNIVERSITY,26035,0,0,0,,,0,,,0,0,13,0,0
2005,120254,Occidental College,1,Occidental College,1839,0,0,0,,,0,,,0,0,3,4,0
2005,121309,Point Loma Nazarene University,1,Point Loma Nazerene University Main Campus,3445,0,0,0,,,0,,,0,0,0,0,0
2005,122931,Santa Clara University,1,Main Campus - Santa Clara University,8097,0,0,0,,,0,,,0,0,2,0,0
2005,243744,Stanford University,1,Main Campus,19042,0,0,1,,,0,,,5,3,53,24,0
2005,117140,University of La Verne,1,MAIN CAMPUS,8148,0,0,0,,,0,,,0,0,1,1,0
2005,121691,University of Redlands,1,Main Campus,4269,0,0,0,,,0,,,0,0,0,0,0
2005,122436,University of San Diego,1,UNIVERSITY OF SAN DIEGO,7548,0,0,0,,,0,,,0,0,0,0,0
2005,122612,University of San Francisco,1,Hilltop Campus (San Francisco),8457,0,0,0,,,0,,,0,0,0,0,0
2005,123961,University of Southern California,1,University Park Campus,32836,0,0,4,,,0,,,19,7,57,9,0
2005,120883,University of the Pacific,1,Main Campus,6196,0,0,0,,,0,,,0,1,0,0,0
2005,123651,Vanguard University of Southern California,2,Vanguard University - CINCEL,2249,0,0,0,,,0,,,0,0,0,0,0
2005,112525,Western University of Health Sciences,1,Western University of Health Sciences,1885,0,0,0,,,0,,,0,0,0,0,0
2005,125763,Whittier College,1,Main Campus,2299,0,0,0,,,0,,,0,0,0,0,0
