Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2008,109785,Azusa Pacific University,1,Azusa (main campus),8548,5,7,0
2008,110097,Biola University,1,Main Campus,5893,0,13,5
2008,110361,California Baptist University,1,Main Campus,4013,1,3,36
2008,110404,California Institute of Technology,1,Main Campus,2126,0,4,9
2008,110413,California Lutheran University,1,Main Campus,3499,0,8,18
2008,111948,Chapman University,1,Orange Campus,6128,3,37,173
2008,112075,Concordia University-Irvine,1,Main Campus,2543,0,8,144
2008,114813,Fresno Pacific University,1,FRESNO PACIFIC UNIVERSITY,2436,0,4,2
2008,114840,Fuller Theological Seminary in California,1,Fuller Pasadena,2957,0,0,0
2008,117627,La Sierra University,1,La Sierra University,1899,0,1,1
2008,117636,Loma Linda University,1,Loma Linda University,4040,0,0,0
2008,117946,Loyola Marymount University,1,Westchester Campus,9011,0,130,6
2008,119173,Mount Saint Mary's University,1,Chalon,2363,0,0,9
2008,120254,Occidental College,1,Occidental College,1868,1,35,21
2008,121150,Pepperdine University,1,Malibu - Main Campus,7614,1,5,15
2008,121309,Point Loma Nazarene University,1,Point Loma Nazerene University Main Campus,3390,0,8,15
2008,123554,Saint Mary's College of California,1,Main Campus,3840,2,41,29
2008,122931,Santa Clara University,1,Main Campus - Santa Clara University,8758,0,91,550
2008,243744,Stanford University,1,Main Campus,17833,0,3,21
2008,117140,University of La Verne,1,MAIN CAMPUS,7511,0,10,44
2008,121691,University of Redlands,1,Main Campus,4317,3,20,200
2008,122436,University of San Diego,1,UNIVERSITY OF SAN DIEGO,7832,2,42,638
2008,122612,University of San Francisco,1,Hilltop Campus (San Francisco),8750,0,62,243
2008,123961,University of Southern California,1,University Park Campus,33747,0,42,25
2008,120883,University of the Pacific,1,Main Campus,6251,1,16,12
2008,123651,Vanguard University of Southern California,1,Vanguard University of Southern California,2149,0,0,0
2008,125763,Whittier College,1,Main Campus,2047,2,22,103
2009,109785,Azusa Pacific University,1,Azusa (main campus),8539,2,7,28
2009,110097,Biola University,1,Main Campus,5942,0,2,6
2009,110361,California Baptist University,1,Main Campus,4103,0,12,26
2009,110404,California Institute of Technology,1,Main Campus,2130,0,0,6
2009,110413,California Lutheran University,1,Main Campus,3714,0,20,3
2009,111948,Chapman University,1,Orange Campus,6398,2,34,242
2009,112075,Concordia University-Irvine,1,Main Campus,2564,0,9,132
2009,114813,Fresno Pacific University,1,FRESNO PACIFIC UNIVERSITY,2668,0,0,0
2009,114840,Fuller Theological Seminary in California,1,Fuller Pasadena,2966,0,0,0
2009,117627,La Sierra University,1,La Sierra University,1857,0,0,1
2009,117636,Loma Linda University,1,Loma Linda University,4114,0,0,0
2009,117946,Loyola Marymount University,1,Westchester Campus,9015,0,115,0
2009,119173,Mount Saint Mary's University,1,Chalon,2482,0,3,3
2009,120254,Occidental College,1,Occidental College,1989,0,122,392
2009,121150,Pepperdine University,1,Malibu - Main Campus,7733,0,4,23
2009,121309,Point Loma Nazarene University,1,Point Loma Nazerene University Main Campus,3487,0,1,4
2009,123554,Saint Mary's College of California,1,Main Campus,3636,1,23,3
2009,122931,Santa Clara University,1,Main Campus - Santa Clara University,8846,0,95,541
2009,243744,Stanford University,1,Main Campus,18498,0,4,56
2009,117140,University of La Verne,1,MAIN CAMPUS,7482,0,5,0
2009,121691,University of Redlands,1,Main Campus,4431,0,32,205
2009,122436,University of San Diego,1,UNIVERSITY OF SAN DIEGO,7868,3,55,621
2009,122612,University of San Francisco,1,Hilltop Campus (San Francisco),9008,4,184,393
2009,123961,University of Southern California,1,University Park Campus,34824,0,84,103
2009,120883,University of the Pacific,1,Main Campus,6401,0,3,0
2009,123651,Vanguard University of Southern California,1,Vanguard University of Southern California,1923,0,1,0
2009,125763,Whittier College,1,Main Campus,2093,2,39,103
2010,109785,Azusa Pacific University,1,Azusa (main campus),9258,0,0,26
2010,110097,Biola University,1,Main Campus,6113,0,16,28
2010,110361,California Baptist University,1,Main Campus,4715,0,3,16
2010,110404,California Institute of Technology,1,Main Campus,2175,0,1,6
2010,110413,California Lutheran University,1,Main Campus,3931,0,46,4
2010,111948,Chapman University,1,Orange Campus,6881,0,11,145
2010,112251,Claremont Graduate University,1,Main Campus,2265,0,0,0
2010,112075,Concordia University-Irvine,1,Main Campus,2927,0,39,105
2010,114813,Fresno Pacific University,1,FRESNO PACIFIC UNIVERSITY,3356,0,0,0
2010,114840,Fuller Theological Seminary in California,1,Fuller Pasadena,3005,0,0,0
2010,117627,La Sierra University,1,La Sierra University,2096,0,0,5
2010,117636,Loma Linda University,1,Loma Linda University,4266,0,0,0
2010,117946,Loyola Marymount University,1,Westchester Campus,9223,0,199,0
2010,119173,Mount Saint Mary's University,1,Chalon,2862,0,1,2
2010,120254,Occidental College,1,Occidental College,2102,0,141,362
2010,121150,Pepperdine University,1,Malibu - Main Campus,7604,0,2,19
2010,121309,Point Loma Nazarene University,1,Point Loma Nazerene University Main Campus,3561,0,21,11
2010,123554,Saint Mary's College of California,1,Main Campus,3917,0,45,0
2010,122931,Santa Clara University,1,Main Campus - Santa Clara University,8687,5,140,554
2010,243744,Stanford University,1,Main Campus,19535,0,3,0
2010,117140,University of La Verne,1,MAIN CAMPUS,8032,2,20,46
2010,121691,University of Redlands,1,Main Campus,4431,3,59,202
2010,122436,University of San Diego,1,UNIVERSITY OF SAN DIEGO,8201,4,83,603
2010,122612,University of San Francisco,1,Hilltop Campus (San Francisco),9557,0,73,260
2010,123961,University of Southern California,1,University Park Campus,36896,2,104,204
2010,120883,University of the Pacific,1,Main Campus,6717,2,19,0
2010,123651,Vanguard University of Southern California,1,Vanguard University of Southern California,2055,0,0,20
2010,125763,Whittier College,1,Main Campus,2288,0,101,89
2011,109785,Azusa Pacific University,1,Azusa (main campus),9929,0,5,15
2011,110097,Biola University,1,Main Campus,6251,0,5,18
2011,110361,California Baptist University,1,Main Campus,5413,0,8,12
2011,110404,California Institute of Technology,1,Main Campus,2231,0,0,1
2011,110413,California Lutheran University,1,Main Campus,4103,0,10,129
2011,111948,Chapman University,1,Orange Campus,7155,5,44,146
2011,112251,Claremont Graduate University,1,Main Campus,2177,0,0,0
2011,112075,Concordia University-Irvine,1,Main Campus,3251,0,48,87
2011,114813,Fresno Pacific University,1,FRESNO PACIFIC UNIVERSITY,3568,0,0,0
2011,114840,Fuller Theological Seminary in California,1,Fuller Pasadena,2958,0,0,0
2011,117627,La Sierra University,1,La Sierra University,2199,0,5,2
2011,117636,Loma Linda University,1,Loma Linda University,4455,0,0,0
2011,117946,Loyola Marymount University,1,Westchester Campus,9352,0,198,0
2011,119173,Mount Saint Mary's University,1,Chalon,2943,0,0,1
2011,120254,Occidental College,1,Occidental College,2132,0,97,212
2011,121150,Pepperdine University,1,Malibu - Main Campus,7539,1,12,35
2011,121309,Point Loma Nazarene University,1,Point Loma Nazerene University Main Campus,3251,0,5,4
2011,123554,Saint Mary's College of California,1,Main Campus,4099,2,46,0
2011,122931,Santa Clara University,1,Main Campus - Santa Clara University,8800,1,141,553
2011,243744,Stanford University,1,Main Campus,19945,0,3,1
2011,117140,University of La Verne,1,MAIN CAMPUS,8370,2,4,18
2011,121691,University of Redlands,1,Main Campus,4769,4,101,404
2011,122436,University of San Diego,1,UNIVERSITY OF SAN DIEGO,8317,3,91,654
2011,122612,University of San Francisco,1,Hilltop Campus (San Francisco),9799,0,148,316
2011,123961,University of Southern California,1,University Park Campus,38010,8,58,93
2011,120883,University of the Pacific,1,Main Campus,6710,0,20,0
2011,123651,Vanguard University of Southern California,1,Vanguard University of Southern California,2197,0,0,44
2011,125763,Whittier College,1,Main Campus,2417,0,34,32
2012,109785,Azusa Pacific University,1,Azusa (main campus),10184,0,9,16
2012,110097,Biola University,1,Main Campus,6303,1,11,3
2012,110361,California Baptist University,1,Main Campus,6031,2,3,14
2012,110404,California Institute of Technology,1,Main Campus,2243,0,0,0
2012,110413,California Lutheran University,1,Main Campus,4205,0,1,82
2012,111948,Chapman University,1,Orange Campus,7570,1,65,124
2012,112251,Claremont Graduate University,1,Main Campus,2261,0,0,0
2012,112075,Concordia University-Irvine,1,Main Campus,3519,0,22,78
2012,114813,Fresno Pacific University,1,FRESNO PACIFIC UNIVERSITY,3353,0,2,1
2012,114840,Fuller Theological Seminary in California,1,Fuller Pasadena,2828,0,0,0
2012,117627,La Sierra University,1,La Sierra University,2393,0,1,13
2012,117636,Loma Linda University,1,Loma Linda University,4612,0,0,0
2012,117946,Loyola Marymount University,1,Westchester Campus,9492,0,174,1
2012,119173,Mount Saint Mary's University,1,Chalon,3146,0,4,5
2012,120254,Occidental College,1,Occidental College,2178,1,42,294
2012,121150,Pepperdine University,1,Malibu - Main Campus,7319,2,7,19
2012,121309,Point Loma Nazarene University,1,Point Loma Nazerene University Main Campus,3192,0,7,13
2012,123554,Saint Mary's College of California,1,Main Campus,4228,18,49,4
2012,122931,Santa Clara University,1,Main Campus - Santa Clara University,8519,1,177,710
2012,243744,Stanford University,1,Main Campus,18519,0,0,0
2012,117140,University of La Verne,1,MAIN CAMPUS,8628,0,15,43
2012,121691,University of Redlands,1,Main Campus,4956,6,122,339
