Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18079,0,0,0
2001,110529,California State Polytechnic University-Pomona,1,Main Campus,19041,0,0,0
2001,110538,California State University-Chico,1,Main Campus,16704,2,7,123
2001,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12871,0,0,0
2001,110583,California State University-Long Beach,1,Main Campus,33259,0,1,0
2001,110617,California State University-Sacramento,1,Sacramento State,26923,1,3,1
2001,115755,Humboldt State University,1,Humboldt State University,7382,0,0,0
2001,122409,San Diego State University,1,Main Campus,34171,0,2,10
2001,122755,San Jose State University,1,Main Campus,28007,0,0,0
2001,123572,Sonoma State University,1,Sonoma State University,7590,0,2,1
2002,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18453,0,0,1
2002,110529,California State Polytechnic University-Pomona,1,Main Campus,19821,0,0,0
2002,110538,California State University-Chico,1,Main Campus,16246,1,39,151
2002,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13504,0,3,2
2002,110583,California State University-Long Beach,1,Main Campus,34566,0,0,1
2002,110617,California State University-Sacramento,1,Sacramento State,28558,1,6,1
2002,115755,Humboldt State University,1,Humboldt State University,7611,0,0,0
2002,122409,San Diego State University,1,Main Campus,34304,1,0,2
2002,122755,San Jose State University,1,Main Campus,30350,0,0,0
2002,123572,Sonoma State University,1,Sonoma State University,8219,0,0,0
2003,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18303,0,0,26
2003,110529,California State Polytechnic University-Pomona,1,Main Campus,19804,0,0,0
2003,110538,California State University-Chico,1,Main Campus,15516,19,32,337
2003,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13248,6,5,0
2003,110583,California State University-Long Beach,1,Main Campus,34715,0,1,0
2003,110617,California State University-Sacramento,1,Sacramento State,28375,5,12,2
2003,115755,Humboldt State University,1,Humboldt State University,7725,0,0,0
2003,122409,San Diego State University,1,Main Campus,32803,0,0,1
2003,122755,San Jose State University,1,Main Campus,28932,0,0,0
2003,123572,Sonoma State University,1,Sonoma State University,8371,0,0,0
2004,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,17582,0,0,7
2004,110529,California State Polytechnic University-Pomona,1,Main Campus,19003,0,0,0
2004,110538,California State University-Chico,1,Main Campus,15734,0,2,1
2004,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12613,0,0,0
