Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18079,0,10,4
2001,110529,California State Polytechnic University-Pomona,1,Main Campus,19041,2,24,16
2001,110486,California State University-Bakersfield,1,Main Campus,7050,0,2,6
2001,441937,California State University-Channel Islands,1,California State University Channel Islands,,0,0,0
2001,110538,California State University-Chico,1,Main Campus,16704,2,29,59
2001,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12871,5,3,4
2001,110574,California State University-East Bay,1,Main Campus,13240,1,8,9
2001,110556,California State University-Fresno,1,Main Campus,20007,5,20,70
2001,110565,California State University-Fullerton,1,Main Campus,30357,7,22,4
2001,110583,California State University-Long Beach,1,Main Campus,33259,1,6,30
2001,110592,California State University-Los Angeles,1,California State University- Los Angeles,20675,1,5,6
2001,409698,California State University-Monterey Bay,1,California State University- Monterey Bay,3020,2,17,42
2001,110608,California State University-Northridge,1,California State University- Northridge,31448,1,8,6
2001,110617,California State University-Sacramento,1,Sacramento State,26923,1,5,4
2001,110510,California State University-San Bernardino,1,California State University- San Bernardino,15985,0,11,4
2001,366711,California State University-San Marcos,1,Main Campus,6496,0,0,0
2001,110495,California State University-Stanislaus,1,CSU Stanislaus - Turlock,7534,1,10,27
2001,169248,Central Michigan University,1,Main Campus,27797,0,15,75
2001,115755,Humboldt State University,1,Humboldt State University,7382,0,17,8
2001,122409,San Diego State University,1,Main Campus,34171,6,67,35
2001,122597,San Francisco State University,1,Main Campus,26866,1,42,8
2001,122755,San Jose State University,1,Main Campus,28007,3,22,35
2001,123572,Sonoma State University,1,Sonoma State University,7590,1,17,44
2001,111188,The California Maritime Academy,1,California State University Maritime Academy,606,0,0,0
2002,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18453,0,7,12
2002,110529,California State Polytechnic University-Pomona,1,Main Campus,19821,3,10,1
2002,110486,California State University-Bakersfield,1,Main Campus,7765,0,1,14
2002,441937,California State University-Channel Islands,1,California State University Channel Islands,630,0,1,0
2002,110538,California State University-Chico,1,Main Campus,16246,0,14,11
2002,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13504,0,1,2
2002,110574,California State University-East Bay,1,Main Campus,13876,4,4,4
2002,110556,California State University-Fresno,1,Main Campus,21272,3,19,55
2002,110565,California State University-Fullerton,1,Main Campus,32143,0,17,7
2002,110583,California State University-Long Beach,1,Main Campus,34566,4,16,10
2002,110592,California State University-Los Angeles,1,California State University- Los Angeles,21099,2,7,3
2002,409698,California State University-Monterey Bay,1,California State University- Monterey Bay,3551,2,22,39
2002,110608,California State University-Northridge,1,California State University- Northridge,33579,3,10,9
2002,110617,California State University-Sacramento,1,Sacramento State,28558,2,8,6
2002,110510,California State University-San Bernardino,1,California State University- San Bernardino,16341,3,23,9
2002,366711,California State University-San Marcos,1,Main Campus,7678,0,1,2
2002,110495,California State University-Stanislaus,1,CSU Stanislaus - Turlock,7850,0,3,9
2002,169248,Central Michigan University,1,Main Campus,27919,1,17,187
2002,115755,Humboldt State University,1,Humboldt State University,7611,2,28,20
2002,122409,San Diego State University,1,Main Campus,34304,6,76,115
2002,122597,San Francisco State University,1,Main Campus,28378,4,56,9
2002,122755,San Jose State University,1,Main Campus,30350,2,32,34
2002,123572,Sonoma State University,1,Sonoma State University,8219,2,12,14
2002,111188,The California Maritime Academy,1,California State University Maritime Academy,719,0,2,0
2003,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18303,0,30,20
2003,110529,California State Polytechnic University-Pomona,1,Main Campus,19804,5,7,1
2003,110486,California State University-Bakersfield,1,Main Campus,7933,2,5,1
2003,441937,California State University-Channel Islands,1,California State University Channel Islands,1560,0,0,0
2003,110538,California State University-Chico,1,Main Campus,15516,1,14,55
2003,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13248,3,4,1
2003,110574,California State University-East Bay,1,Main Campus,13455,0,6,4
2003,110556,California State University-Fresno,1,Main Campus,22342,2,15,72
2003,110565,California State University-Fullerton,1,Main Campus,32592,4,25,15
2003,110583,California State University-Long Beach,1,Main Campus,34715,7,33,91
2003,110592,California State University-Los Angeles,1,California State University- Los Angeles,20637,1,5,4
2003,409698,California State University-Monterey Bay,1,California State University- Monterey Bay,3760,5,11,34
2003,110608,California State University-Northridge,1,California State University- Northridge,33426,2,22,13
2003,110617,California State University-Sacramento,1,Sacramento State,28375,0,9,6
2003,110510,California State University-San Bernardino,1,California State University- San Bernardino,16927,1,10,1
2003,366711,California State University-San Marcos,1,Main Campus,7777,2,4,24
2003,110495,California State University-Stanislaus,1,CSU Stanislaus - Turlock,8072,1,4,9
2003,169248,Central Michigan University,1,Main Campus,27758,0,11,206
2003,115755,Humboldt State University,1,Humboldt State University,7725,2,56,27
2003,122409,San Diego State University,1,Main Campus,32803,5,88,129
2003,122597,San Francisco State University,1,Main Campus,29686,10,29,23
