Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18079,0,3,0
2001,110529,California State Polytechnic University-Pomona,1,Main Campus,19041,2,7,7
2001,110538,California State University-Chico,1,Main Campus,16704,0,8,4
2001,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12871,1,0,0
2001,110583,California State University-Long Beach,1,Main Campus,33259,0,2,21
2001,110617,California State University-Sacramento,1,Sacramento State,26923,0,4,3
2001,115755,Humboldt State University,1,Humboldt State University,7382,0,10,7
2001,122409,San Diego State University,1,Main Campus,34171,1,29,10
2001,122755,San Jose State University,1,Main Campus,28007,0,22,4
2001,123572,Sonoma State University,1,Sonoma State University,7590,0,11,34
2002,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18453,0,3,3
2002,110529,California State Polytechnic University-Pomona,1,Main Campus,19821,3,10,1
2002,110538,California State University-Chico,1,Main Campus,16246,0,5,1
2002,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13504,0,1,2
2002,110583,California State University-Long Beach,1,Main Campus,34566,1,5,6
2002,110617,California State University-Sacramento,1,Sacramento State,28558,0,2,6
2002,115755,Humboldt State University,1,Humboldt State University,7611,1,13,0
2002,122409,San Diego State University,1,Main Campus,34304,1,16,56
2002,122755,San Jose State University,1,Main Campus,30350,0,14,6
2002,123572,Sonoma State University,1,Sonoma State University,8219,2,12,12
2003,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18303,0,14,2
2003,110529,California State Polytechnic University-Pomona,1,Main Campus,19804,3,2,1
2003,110538,California State University-Chico,1,Main Campus,15516,0,7,10
2003,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13248,2,4,0
2003,110583,California State University-Long Beach,1,Main Campus,34715,1,18,24
2003,110617,California State University-Sacramento,1,Sacramento State,28375,0,7,4
2003,115755,Humboldt State University,1,Humboldt State University,7725,0,14,1
2003,122409,San Diego State University,1,Main Campus,32803,1,27,76
2003,122755,San Jose State University,1,Main Campus,28932,0,20,8
2003,123572,Sonoma State University,1,Sonoma State University,8371,3,6,10
2004,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,17582,0,5,1
2004,110529,California State Polytechnic University-Pomona,1,Main Campus,19003,1,0,0
2004,110538,California State University-Chico,1,Main Campus,15734,0,4,5
2004,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12613,0,3,2
2004,110583,California State University-Long Beach,1,Main Campus,33479,1,11,26
2004,110617,California State University-Sacramento,1,Sacramento State,27972,0,2,0
2004,115755,Humboldt State University,1,Humboldt State University,7550,0,33,11
2004,122409,San Diego State University,1,Main Campus,32043,1,7,15
2004,122755,San Jose State University,1,Main Campus,29044,0,11,1
2004,123572,Sonoma State University,1,Sonoma State University,7977,2,8,6
2005,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18475,0,11,2
2005,110529,California State Polytechnic University-Pomona,1,Main Campus,19885,0,0,0
2005,110538,California State University-Chico,1,Main Campus,15919,0,7,1
2005,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12357,0,2,1
2005,110583,California State University-Long Beach,1,Main Campus,34547,1,13,7
2005,110617,California State University-Sacramento,1,Sacramento State,27932,4,4,3
2005,115755,Humboldt State University,1,Humboldt State University,7462,1,45,3
2005,122409,San Diego State University,1,Main Campus,31802,1,8,18
2005,122755,San Jose State University,1,Main Campus,29975,2,12,19
2005,123572,Sonoma State University,1,Sonoma State University,7749,2,13,2
2006,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18722,0,10,0
2006,110529,California State Polytechnic University-Pomona,1,Main Campus,20510,1,2,1
2006,110538,California State University-Chico,1,Main Campus,16250,0,3,0
2006,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12068,1,1,0
2006,110583,California State University-Long Beach,1,Main Campus,35574,2,12,12
2006,110617,California State University-Sacramento,1,Sacramento State,28529,1,10,0
2006,115755,Humboldt State University,1,Humboldt State University,7435,0,68,8
2006,122409,San Diego State University,1,Main Campus,33441,0,19,21
2006,122755,San Jose State University,1,Main Campus,29604,2,27,40
2006,123572,Sonoma State University,1,Sonoma State University,8274,1,33,9
2007,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,19777,0,10,1
2007,110529,California State Polytechnic University-Pomona,1,Main Campus,21477,1,1,2
2007,110538,California State University-Chico,1,Main Campus,17034,0,7,1
2007,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12082,0,2,0
2007,110583,California State University-Long Beach,1,Main Campus,36868,2,14,3
2007,110617,California State University-Sacramento,1,Sacramento State,28829,0,9,0
