Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18079,0,0,1,,,0,,,0,1,1,0,6
2001,110529,California State Polytechnic University-Pomona,1,Main Campus,19041,0,0,2,,,0,,,0,0,11,8,0
2001,110486,California State University-Bakersfield,1,Main Campus,7050,0,0,0,,,0,,,0,0,2,0,0
2001,441937,California State University-Channel Islands,1,California State University Channel Islands,,0,0,0,,,0,,,0,0,0,0,0
2001,110538,California State University-Chico,1,Main Campus,16704,0,0,2,,,0,,,0,1,11,1,0
2001,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12871,0,0,1,,,0,,,1,0,3,1,0
2001,110574,California State University-East Bay,1,Main Campus,13240,0,0,0,,,0,,,1,0,3,0,0
2001,110556,California State University-Fresno,1,Main Campus,20007,0,0,1,,,0,,,1,3,10,11,0
2001,110565,California State University-Fullerton,1,Main Campus,30357,0,0,0,,,0,,,0,0,1,0,0
2001,110583,California State University-Long Beach,1,Main Campus,33259,0,0,3,,,0,,,1,0,16,2,1
2001,110592,California State University-Los Angeles,1,California State University- Los Angeles,20675,0,0,1,,,0,,,0,0,15,3,0
2001,409698,California State University-Monterey Bay,1,California State University- Monterey Bay,3020,0,0,5,,,0,,,0,1,26,2,1
2001,110608,California State University-Northridge,1,California State University- Northridge,31448,0,0,5,,,0,,,3,3,2,10,0
2001,110617,California State University-Sacramento,1,Sacramento State,26923,0,0,1,,,0,,,0,1,11,6,0
2001,110510,California State University-San Bernardino,1,California State University- San Bernardino,15985,0,0,0,,,0,,,0,3,12,0,0
2001,110495,California State University-Stanislaus,1,CSU Stanislaus - Turlock,7534,0,0,0,,,0,,,0,0,0,1,0
2001,169248,Central Michigan University,1,Main Campus,27797,0,0,4,,,0,,,0,0,2,0,1
2001,115755,Humboldt State University,1,Humboldt State University,7382,0,0,3,,,0,,,0,0,5,0,1
2001,122409,San Diego State University,1,Main Campus,34171,0,0,4,,,0,,,1,2,5,2,2
2001,122597,San Francisco State University,1,Main Campus,26866,0,0,1,,,0,,,1,0,5,1,0
2001,122755,San Jose State University,1,Main Campus,28007,0,0,3,,,0,,,1,1,15,2,1
2001,123572,Sonoma State University,1,Sonoma State University,7590,0,0,1,,,0,,,0,1,19,1,0
2001,111188,The California Maritime Academy,1,California State University Maritime Academy,606,0,0,0,,,0,,,0,0,4,0,0
2002,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18453,0,0,1,,,0,,,0,0,1,0,0
2002,110529,California State Polytechnic University-Pomona,1,Main Campus,19821,0,0,1,,,0,,,2,2,15,2,2
2002,110486,California State University-Bakersfield,1,Main Campus,7765,0,0,0,,,0,,,1,2,3,0,0
2002,441937,California State University-Channel Islands,1,California State University Channel Islands,630,0,0,0,,,0,,,0,0,0,0,0
2002,110538,California State University-Chico,1,Main Campus,16246,0,0,1,,,0,,,0,0,7,0,0
2002,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13504,0,0,0,,,0,,,0,0,13,2,0
2002,110574,California State University-East Bay,1,Main Campus,13876,0,0,0,,,0,,,0,2,3,0,0
2002,110556,California State University-Fresno,1,Main Campus,21272,0,0,1,,,1,,,0,1,7,12,0
2002,110565,California State University-Fullerton,1,Main Campus,32143,0,0,1,,,0,,,0,0,1,0,0
2002,110583,California State University-Long Beach,1,Main Campus,34566,0,0,0,,,0,,,0,0,4,0,0
2002,110592,California State University-Los Angeles,1,California State University- Los Angeles,21099,0,0,3,,,0,,,0,1,8,5,0
2002,409698,California State University-Monterey Bay,1,California State University- Monterey Bay,3551,0,0,6,,,0,,,0,0,12,2,1
2002,110608,California State University-Northridge,1,California State University- Northridge,33579,0,0,3,,,0,,,0,5,8,5,2
2002,110617,California State University-Sacramento,1,Sacramento State,28558,0,0,4,,,0,,,1,3,3,7,0
2002,110510,California State University-San Bernardino,1,California State University- San Bernardino,16341,0,0,1,,,0,,,0,0,11,2,0
2002,366711,California State University-San Marcos,1,Main Campus,7678,0,0,0,,,0,,,0,0,0,0,0
2002,110495,California State University-Stanislaus,1,CSU Stanislaus - Turlock,7850,0,0,0,,,0,,,0,0,1,2,0
2002,169248,Central Michigan University,1,Main Campus,27919,0,0,7,,,0,,,0,1,6,0,1
2002,115755,Humboldt State University,1,Humboldt State University,7611,0,0,3,,,0,,,0,0,12,0,5
2002,122409,San Diego State University,1,Main Campus,34304,0,0,3,,,0,,,0,1,13,4,1
2002,122597,San Francisco State University,1,Main Campus,28378,0,0,4,,,0,,,1,1,7,0,0
2002,122755,San Jose State University,1,Main Campus,30350,0,0,1,,,0,,,2,0,5,0,1
2002,123572,Sonoma State University,1,Sonoma State University,8219,0,0,0,,,0,,,0,1,34,2,0
2002,111188,The California Maritime Academy,1,California State University Maritime Academy,719,0,0,0,,,0,,,0,0,3,0,0
2003,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18303,0,0,4,,,0,,,0,0,4,0,1
2003,110529,California State Polytechnic University-Pomona,1,Main Campus,19804,0,0,1,,,0,,,1,0,27,0,1
2003,110486,California State University-Bakersfield,1,Main Campus,7933,0,0,0,,,0,,,1,2,3,1,0
2003,441937,California State University-Channel Islands,1,California State University Channel Islands,1560,0,0,0,,,0,,,0,0,0,0,0
2003,110538,California State University-Chico,1,Main Campus,15516,0,0,2,,,1,,,0,2,4,3,0
2003,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13248,0,0,1,,,0,,,1,2,3,1,0
2003,110574,California State University-East Bay,1,Main Campus,13455,0,0,0,,,0,,,0,0,0,4,0
2003,110556,California State University-Fresno,1,Main Campus,22342,0,0,1,,,0,,,0,0,2,7,0
2003,110565,California State University-Fullerton,1,Main Campus,32592,0,0,0,,,0,,,0,0,3,0,0
2003,110583,California State University-Long Beach,1,Main Campus,34715,0,0,4,,,0,,,0,0,5,13,1
2003,110592,California State University-Los Angeles,1,California State University- Los Angeles,20637,0,0,0,,,0,,,1,1,27,2,0
2003,409698,California State University-Monterey Bay,1,California State University- Monterey Bay,3760,0,0,1,,,0,,,2,1,18,0,1
2003,110608,California State University-Northridge,1,California State University- Northridge,33426,0,0,6,,,1,,,7,3,70,10,2
2003,110617,California State University-Sacramento,1,Sacramento State,28375,0,0,0,,,0,,,0,2,19,10,1
2003,110510,California State University-San Bernardino,1,California State University- San Bernardino,16927,0,0,2,,,0,,,0,3,13,2,0
2003,366711,California State University-San Marcos,1,Main Campus,7777,0,0,0,,,0,,,0,0,0,1,0
2003,110495,California State University-Stanislaus,1,CSU Stanislaus - Turlock,8072,0,0,0,,,0,,,0,0,4,1,0
2003,169248,Central Michigan University,1,Main Campus,27758,0,0,6,,,0,,,2,1,1,0,3
2003,115755,Humboldt State University,1,Humboldt State University,7725,0,0,2,,,0,,,1,0,11,0,5
2003,122409,San Diego State University,1,Main Campus,32803,0,0,6,,,0,,,0,4,9,7,1
2003,122597,San Francisco State University,1,Main Campus,29686,0,0,4,,,0,,,1,1,7,0,0
2003,122755,San Jose State University,1,Main Campus,28932,0,0,3,,,0,,,0,2,4,0,2
2003,123572,Sonoma State University,1,Sonoma State University,8371,0,0,1,,,0,,,0,3,30,2,3
2003,111188,The California Maritime Academy,1,California State University Maritime Academy,698,0,0,0,,,0,,,0,0,4,0,0
2004,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,17582,0,0,1,,,0,,,1,0,1,0,0
2004,110529,California State Polytechnic University-Pomona,1,Main Campus,19003,0,0,2,,,0,,,1,1,6,0,0
2004,110486,California State University-Bakersfield,1,Main Campus,7755,0,0,0,,,0,,,0,0,2,0,0
2004,441937,California State University-Channel Islands,1,California State University Channel Islands,2021,0,0,0,,,0,,,0,0,1,0,0
2004,110538,California State University-Chico,1,Main Campus,15734,0,0,0,,,0,,,0,2,0,0,0
2004,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12613,0,0,1,,,0,,,0,1,11,1,0
2004,110574,California State University-East Bay,1,Main Campus,13061,0,0,0,,,0,,,0,0,1,0,0
2004,110556,California State University-Fresno,1,Main Campus,19781,0,0,1,,,0,,,0,0,3,8,0
2004,110565,California State University-Fullerton,1,Main Campus,32744,0,0,0,,,0,,,0,0,6,0,0
2004,110583,California State University-Long Beach,1,Main Campus,33479,0,0,2,,,0,,,0,0,4,14,0
2004,110592,California State University-Los Angeles,1,California State University- Los Angeles,20307,0,0,0,,,0,,,1,1,16,5,2
