Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18079,3,9,1
2001,110529,California State Polytechnic University-Pomona,1,Main Campus,19041,0,33,91
2001,110486,California State University-Bakersfield,1,Main Campus,7050,0,0,0
2001,441937,California State University-Channel Islands,1,California State University Channel Islands,,0,0,0
2001,110538,California State University-Chico,1,Main Campus,16704,6,198,801
2001,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12871,0,2,0
2001,110574,California State University-East Bay,1,Main Campus,13240,0,0,0
2001,110556,California State University-Fresno,1,Main Campus,20007,1,3,48
2001,110565,California State University-Fullerton,1,Main Campus,30357,0,3,2
2001,110583,California State University-Long Beach,1,Main Campus,33259,0,5,77
2001,110592,California State University-Los Angeles,1,California State University- Los Angeles,20675,0,0,0
2001,409698,California State University-Monterey Bay,1,California State University- Monterey Bay,3020,1,122,349
2001,110608,California State University-Northridge,1,California State University- Northridge,31448,0,10,1
2001,110617,California State University-Sacramento,1,Sacramento State,26923,0,23,183
2001,110510,California State University-San Bernardino,1,California State University- San Bernardino,15985,0,1,29
2001,366711,California State University-San Marcos,1,Main Campus,6496,0,0,0
2001,110495,California State University-Stanislaus,1,CSU Stanislaus - Turlock,7534,1,4,25
2001,169248,Central Michigan University,1,Main Campus,27797,0,14,98
2001,115755,Humboldt State University,1,Humboldt State University,7382,0,3,1
2001,122409,San Diego State University,1,Main Campus,34171,3,102,486
2001,122597,San Francisco State University,1,Main Campus,26866,0,219,161
2001,122755,San Jose State University,1,Main Campus,28007,9,18,18
2001,123572,Sonoma State University,1,Sonoma State University,7590,3,59,37
2001,111188,The California Maritime Academy,1,California State University Maritime Academy,606,0,2,18
2002,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18453,2,5,4
2002,110529,California State Polytechnic University-Pomona,1,Main Campus,19821,3,21,62
2002,110486,California State University-Bakersfield,1,Main Campus,7765,0,0,0
2002,441937,California State University-Channel Islands,1,California State University Channel Islands,630,0,0,0
2002,110538,California State University-Chico,1,Main Campus,16246,2,193,669
2002,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13504,1,2,0
2002,110574,California State University-East Bay,1,Main Campus,13876,0,0,0
2002,110556,California State University-Fresno,1,Main Campus,21272,0,5,11
2002,110565,California State University-Fullerton,1,Main Campus,32143,1,11,23
2002,110583,California State University-Long Beach,1,Main Campus,34566,1,3,169
2002,110592,California State University-Los Angeles,1,California State University- Los Angeles,21099,1,1,1
2002,409698,California State University-Monterey Bay,1,California State University- Monterey Bay,3551,0,55,390
2002,110608,California State University-Northridge,1,California State University- Northridge,33579,1,11,47
2002,110617,California State University-Sacramento,1,Sacramento State,28558,2,20,228
2002,110510,California State University-San Bernardino,1,California State University- San Bernardino,16341,0,8,99
2002,366711,California State University-San Marcos,1,Main Campus,7678,0,0,0
2002,110495,California State University-Stanislaus,1,CSU Stanislaus - Turlock,7850,0,6,42
2002,169248,Central Michigan University,1,Main Campus,27919,9,27,536
2002,115755,Humboldt State University,1,Humboldt State University,7611,0,114,137
