Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2008,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,19471,1,0,0
2008,110529,California State Polytechnic University-Pomona,1,Main Campus,21190,8,41,293
2008,110538,California State University-Chico,1,Main Campus,17132,0,1,138
2008,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,12851,0,0,0
2008,110583,California State University-Long Beach,1,Main Campus,37891,0,67,322
2008,110617,California State University-Sacramento,1,Sacramento State,29011,1,22,203
2008,115755,Humboldt State University,1,Humboldt State University,7800,3,43,2
2008,122409,San Diego State University,1,Main Campus,34889,15,56,381
2008,122755,San Jose State University,1,Main Campus,32746,3,7,3
2008,123572,Sonoma State University,1,Sonoma State University,8921,6,112,352
2009,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,19325,0,0,0
2009,110529,California State Polytechnic University-Pomona,1,Main Campus,22273,2,87,357
2009,110538,California State University-Chico,1,Main Campus,16934,0,13,146
2009,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14477,0,3,0
2009,110583,California State University-Long Beach,1,Main Campus,35557,0,37,205
2009,110617,California State University-Sacramento,1,Sacramento State,29241,6,40,206
2009,115755,Humboldt State University,1,Humboldt State University,7954,2,94,14
2009,122409,San Diego State University,1,Main Campus,32817,9,8,296
2009,122755,San Jose State University,1,Main Campus,31280,0,6,3
2009,123572,Sonoma State University,1,Sonoma State University,8546,2,54,8
2010,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,18360,0,0,0
2010,110529,California State Polytechnic University-Pomona,1,Main Campus,20747,0,40,340
2010,110538,California State University-Chico,1,Main Campus,15989,0,5,104
2010,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,13854,0,1,1
2010,110583,California State University-Long Beach,1,Main Campus,33416,0,31,202
2010,110617,California State University-Sacramento,1,Sacramento State,27033,0,19,144
2010,115755,Humboldt State University,1,Humboldt State University,7903,2,62,15
2010,122409,San Diego State University,1,Main Campus,29187,5,29,211
2010,122755,San Jose State University,1,Main Campus,29076,2,1,1
2010,123572,Sonoma State University,1,Sonoma State University,8395,0,9,17
