Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,20186,1,0,3
2014,110529,California State Polytechnic University-Pomona,1,Main Campus,23966,2,0,1
2014,110486,California State University-Bakersfield,1,Main Campus,8720,0,0,0
2014,441937,California State University-Channel Islands,1,California State University Channel Islands,5879,4,0,3
2014,110538,California State University-Chico,1,Main Campus,17287,2,0,0
2014,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14687,0,0,0
2014,110574,California State University-East Bay,1,Main Campus,14823,2,0,2
2014,110556,California State University-Fresno,1,Main Campus,23179,2,2,1
2014,110565,California State University-Fullerton,1,Main Campus,38128,1,0,4
2014,110583,California State University-Long Beach,1,Main Campus,36809,1,2,1
2014,110592,California State University-Los Angeles,1,California State University- Los Angeles,24488,3,1,1
2014,409698,California State University-Monterey Bay,1,California State University- Monterey Bay,6631,1,2,12
2014,110608,California State University-Northridge,1,California State University- Northridge,40131,2,5,14
2014,110617,California State University-Sacramento,1,Sacramento State,29349,1,2,4
2014,110510,California State University-San Bernardino,1,California State University- San Bernardino,18952,5,3,1
2014,366711,California State University-San Marcos,1,Main Campus,12154,2,4,4
2014,110495,California State University-Stanislaus,1,CSU Stanislaus - Turlock,9045,0,0,0
2014,169248,Central Michigan University,1,Main Campus,26879,4,3,6
2014,169248,Central Michigan University,2,Auburn Hills,26879,0,0,0
2014,169248,Central Michigan University,3,Clinton Township,26879,0,0,0
2014,169248,Central Michigan University,4,Dearborn,26879,0,0,0
2014,169248,Central Michigan University,6,East Lansing,26879,0,0,0
2014,169248,Central Michigan University,7,Flint,26879,0,0,0
2014,169248,Central Michigan University,8,Grand Rapids,26879,0,0,0
2014,169248,Central Michigan University,10,Saginaw,26879,0,0,0
2014,169248,Central Michigan University,11,Southfield,26879,0,0,0
2014,169248,Central Michigan University,12,Traverse City,26879,0,0,0
2014,169248,Central Michigan University,13,Troy,26879,0,0,0
2014,169248,Central Michigan University,14,Warren,26879,0,0,0
2014,169248,Central Michigan University,15,Alexandria,26879,0,0,0
2014,169248,Central Michigan University,16,Atlanta Metro Center,26879,0,0,0
2014,169248,Central Michigan University,17,Dekalb,26879,0,0,0
2014,169248,Central Michigan University,18,Columbus DSCC,26879,0,0,0
2014,169248,Central Michigan University,19,Columbus,26879,0,0,0
2014,169248,Central Michigan University,20,Philadelphia,26879,0,0,0
2014,169248,Central Michigan University,21,Richmond,26879,0,0,0
2014,169248,Central Michigan University,22,Camp Pendleton,26879,0,0,0
2014,169248,Central Michigan University,23,Pearl Harbor - Hickam,26879,0,0,0
2014,169248,Central Michigan University,24,Schofield,26879,0,0,0
2014,169248,Central Michigan University,25,Tripler Army Medical Center,26879,0,0,0
2014,169248,Central Michigan University,26,Fort Leavenworth Center,26879,0,0,0
2014,169248,Central Michigan University,27,Fort Riley,26879,0,0,0
2014,169248,Central Michigan University,28,Fort Polk Center,26879,0,0,0
2014,169248,Central Michigan University,29,Aberdeen Proving Ground Center,26879,0,0,0
2014,169248,Central Michigan University,30,Joint Base Andrews,26879,0,0,0
2014,169248,Central Michigan University,31,Fort Meade Center,26879,0,0,0
2014,169248,Central Michigan University,32,Joint Base McGuire,26879,0,0,0
2014,169248,Central Michigan University,33,Fort Hamilton,26879,0,0,0
2014,169248,Central Michigan University,34,Seymour Johnson Air Force Base Center,26879,0,0,0
2014,169248,Central Michigan University,35,Minot Air Force Base Center,26879,0,0,0
2014,169248,Central Michigan University,36,Wright Patterson Air Force Base Center,26879,0,0,0
2014,169248,Central Michigan University,37,Fort Belvoir Center,26879,0,0,0
2014,169248,Central Michigan University,38,Fort Lee Center,26879,0,0,0
2014,169248,Central Michigan University,39,Joint Base Myer - Henderson Hall,26879,0,0,0
2014,169248,Central Michigan University,40,Defense Logistic Agency,26879,0,0,0
2014,169248,Central Michigan University,41,Pentagon Center,26879,0,0,0
2014,169248,Central Michigan University,42,Saginaw Medical School Campus,26879,0,0,0
2014,115755,Humboldt State University,1,Humboldt State University,8485,0,0,0
2014,122409,San Diego State University,1,Main Campus,33483,2,7,0
2014,122597,San Francisco State University,1,Main Campus,29465,0,4,3
2014,122755,San Jose State University,1,Main Campus,32713,14,2,1
2014,123572,Sonoma State University,1,Sonoma State University,9290,0,0,0
2014,111188,The California Maritime Academy,1,California State University Maritime Academy,1047,0,1,1
2015,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,20944,0,2,1
2015,110529,California State Polytechnic University-Pomona,1,Main Campus,23717,5,5,6
2015,110486,California State University-Bakersfield,1,Main Campus,9228,0,0,0
2015,441937,California State University-Channel Islands,1,California State University Channel Islands,6167,0,0,7
2015,110538,California State University-Chico,1,Main Campus,17220,1,0,1
2015,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14635,1,2,6
2015,110574,California State University-East Bay,1,Main Campus,15528,5,3,14
2015,110556,California State University-Fresno,1,Main Campus,24136,3,0,1
2015,110565,California State University-Fullerton,1,Main Campus,38948,2,2,7
2015,110583,California State University-Long Beach,1,Main Campus,37446,2,1,1
2015,110592,California State University-Los Angeles,1,California State University- Los Angeles,27680,4,3,1
2015,409698,California State University-Monterey Bay,1,California State University- Monterey Bay,7102,5,5,9
2015,110608,California State University-Northridge,1,California State University- Northridge,41548,2,20,20
2015,110617,California State University-Sacramento,1,Sacramento State,30284,2,8,4
2015,110510,California State University-San Bernardino,1,California State University- San Bernardino,20024,3,2,2
2015,366711,California State University-San Marcos,1,Main Campus,12793,0,3,3
2015,110495,California State University-Stanislaus,1,CSU Stanislaus - Turlock,9282,2,1,3
2015,169248,Central Michigan University,1,Main Campus,26825,2,3,10
2015,169248,Central Michigan University,2,Auburn Hills,26825,0,0,0
2015,169248,Central Michigan University,3,Clinton Township,26825,0,0,0
2015,169248,Central Michigan University,4,Dearborn,26825,0,0,0
2015,169248,Central Michigan University,6,East Lansing,26825,0,0,0
2015,169248,Central Michigan University,7,Flint,26825,0,0,0
2015,169248,Central Michigan University,8,Grand Rapids,26825,0,0,0
2015,169248,Central Michigan University,10,Saginaw,26825,0,0,0
2015,169248,Central Michigan University,11,Southfield,26825,0,0,0
2015,169248,Central Michigan University,12,Traverse City,26825,0,0,0
2015,169248,Central Michigan University,13,Troy,26825,0,0,0
2015,169248,Central Michigan University,14,Warren,26825,0,0,0
2015,169248,Central Michigan University,15,Alexandria,26825,0,0,0
2015,169248,Central Michigan University,16,Atlanta Metro Center,26825,0,0,0
2015,169248,Central Michigan University,17,Dekalb,26825,0,0,0
2015,169248,Central Michigan University,18,Columbus DSCC,26825,0,0,0
2015,169248,Central Michigan University,19,Columbus,26825,0,0,0
2015,169248,Central Michigan University,20,Philadelphia,26825,0,0,0
2015,169248,Central Michigan University,22,Camp Pendleton,26825,0,0,0
2015,169248,Central Michigan University,23,Pearl Harbor - Hickam,26825,0,0,0
2015,169248,Central Michigan University,24,Schofield,26825,0,0,0
2015,169248,Central Michigan University,25,Tripler Army Medical Center,26825,0,0,0
2015,169248,Central Michigan University,26,Fort Leavenworth Center,26825,0,0,0
2015,169248,Central Michigan University,27,Fort Riley,26825,0,0,0
2015,169248,Central Michigan University,28,Fort Polk Center,26825,0,0,0
2015,169248,Central Michigan University,29,Aberdeen Proving Ground Center,26825,0,0,0
2015,169248,Central Michigan University,30,Joint Base Andrews,26825,0,0,0
2015,169248,Central Michigan University,31,Fort Meade Center,26825,0,0,0
2015,169248,Central Michigan University,32,Joint Base McGuire,26825,0,0,0
2015,169248,Central Michigan University,33,Fort Hamilton,26825,0,0,0
2015,169248,Central Michigan University,34,Seymour Johnson Air Force Base Center,26825,0,0,0
2015,169248,Central Michigan University,35,Minot Air Force Base Center,26825,0,0,0
2015,169248,Central Michigan University,36,Wright Patterson Air Force Base Center,26825,0,0,0
2015,169248,Central Michigan University,37,Fort Belvoir Center,26825,0,0,0
2015,169248,Central Michigan University,38,Fort Lee Center,26825,0,0,0
2015,169248,Central Michigan University,39,Joint Base Myer - Henderson Hall,26825,0,0,0
2015,169248,Central Michigan University,40,Defense Logistic Agency,26825,0,0,0
2015,169248,Central Michigan University,41,Pentagon Center,26825,0,0,0
2015,169248,Central Michigan University,42,Saginaw Medical School Campus,26825,0,0,0
2015,169248,Central Michigan University,44,Battle Creek Air National Guard,26825,0,0,0
2015,115755,Humboldt State University,1,Humboldt State University,8790,1,0,4
2015,122409,San Diego State University,1,Main Campus,34254,7,4,0
2015,122597,San Francisco State University,1,Main Campus,30256,3,1,10
2015,122755,San Jose State University,1,Main Campus,32773,2,5,2
2015,123572,Sonoma State University,1,Sonoma State University,9408,3,0,1
2015,111188,The California Maritime Academy,1,California State University Maritime Academy,1075,0,0,0
