Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,110635,University of California-Berkeley,1,Main Campus,32128,0,0,2,,,0,,,0,8,44,13,2
2001,110644,University of California-Davis,1,Main Campus,27292,0,0,10,,,0,,,0,4,11,5,1
2001,110398,University of California-Hastings College of Law,1,Main Campus,1252,0,0,0,,,0,,,0,0,0,0,0
2001,110653,University of California-Irvine,1,UCI Main Campus,21885,0,0,6,,,8,,,12,12,76,106,3
2001,110662,University of California-Los Angeles,1,UCLA,37494,0,0,8,,,0,,,3,8,48,20,2
2001,110671,University of California-Riverside,1,Main Campus,14429,0,0,0,,,1,,,2,1,13,23,0
2001,110680,University of California-San Diego,1,Main Campus,21558,0,0,0,,,0,,,0,0,1,1,0
2001,110699,University of California-San Francisco,1,Main Campus - Parnassus,3574,0,0,0,,,0,,,0,1,8,0,1
2001,110705,University of California-Santa Barbara,1,Main Campus,20373,0,0,0,,,0,,,0,4,3,0,0
2001,110714,University of California-Santa Cruz,1,Main Campus,13170,0,0,0,,,0,,,0,0,0,0,0
2002,110635,University of California-Berkeley,1,Main Campus,33145,0,0,1,,,0,,,2,5,81,12,0
2002,110644,University of California-Davis,1,Main Campus,29087,0,0,10,,,0,,,0,5,4,0,0
2002,110653,University of California-Irvine,1,UCI Main Campus,23779,0,0,0,,,1,,,1,1,24,5,0
2002,110662,University of California-Los Angeles,1,UCLA,37599,0,0,2,,,0,,,1,3,55,14,0
2002,110671,University of California-Riverside,1,Main Campus,15934,0,0,0,,,0,,,0,6,22,23,0
2002,110680,University of California-San Diego,1,Main Campus,23528,0,0,0,,,0,,,0,0,0,11,0
2002,110699,University of California-San Francisco,1,Main Campus - Parnassus,3527,0,0,0,,,0,,,2,0,13,1,0
2002,110705,University of California-Santa Barbara,1,Main Campus,20559,0,0,0,,,0,,,0,0,0,0,0
2002,110714,University of California-Santa Cruz,1,Main Campus,14139,0,0,0,,,0,,,0,0,0,0,0
2003,110635,University of California-Berkeley,1,Main Campus,33065,0,0,4,,,0,,,6,7,78,18,1
2003,110644,University of California-Davis,1,Main Campus,29402,0,0,11,,,0,,,1,9,19,5,3
2003,110653,University of California-Irvine,1,UCI Main Campus,24273,0,0,2,,,1,,,3,6,13,18,0
2003,110662,University of California-Los Angeles,1,UCLA,37055,0,0,3,,,0,,,0,3,73,10,0
2003,110671,University of California-Riverside,1,Main Campus,17296,0,0,5,,,0,,,0,5,13,3,0
2003,110680,University of California-San Diego,1,Main Campus,24105,0,0,0,,,0,,,0,2,2,9,0
2003,110699,University of California-San Francisco,1,Main Campus - Parnassus,2763,0,0,0,,,0,,,0,0,8,0,0
2003,110705,University of California-Santa Barbara,1,Main Campus,20847,0,0,0,,,0,,,0,0,0,0,0
2003,110714,University of California-Santa Cruz,1,Main Campus,14997,0,0,0,,,0,,,0,0,0,0,0
2004,110635,University of California-Berkeley,1,Main Campus,32803,0,0,9,,,0,,,0,0,65,10,0
2004,110644,University of California-Davis,1,Main Campus,29210,0,0,7,,,0,,,0,10,23,4,0
2004,110653,University of California-Irvine,1,UCI Main Campus,24344,0,0,3,,,0,,,5,18,47,27,0
2004,110662,University of California-Los Angeles,1,UCLA,35966,0,0,7,,,0,,,3,16,83,12,1
2004,445188,University of California-Merced,1,Main Campus,,0,0,0,,,0,,,0,0,0,0,0
2004,110671,University of California-Riverside,1,Main Campus,17104,0,0,0,,,0,,,3,2,36,14,0
2004,110680,University of California-San Diego,1,Main Campus,24663,0,0,3,,,0,,,0,1,1,14,1
2004,110699,University of California-San Francisco,1,Main Campus - Parnassus,2754,0,0,1,,,0,,,1,0,2,0,0
2004,110705,University of California-Santa Barbara,1,Main Campus,21026,0,0,0,,,0,,,0,0,0,0,0
2004,110714,University of California-Santa Cruz,1,Main Campus,15036,0,0,0,,,0,,,0,0,0,0,0
2005,110635,University of California-Berkeley,1,Main Campus,33547,0,0,5,,,0,,,0,4,32,4,1
2005,110644,University of California-Davis,1,Main Campus,28815,0,0,10,,,0,,,3,0,22,7,1
2005,110653,University of California-Irvine,1,UCI Main Campus,24400,0,0,2,,,1,,,2,1,39,8,0
2005,110662,University of California-Los Angeles,1,UCLA,35625,0,0,6,,,0,,,2,1,47,3,0
2005,445188,University of California-Merced,1,Main Campus,878,0,0,0,,,0,,,0,0,0,0,0
2005,110671,University of California-Riverside,1,Main Campus,16622,0,0,5,,,1,,,1,7,28,12,0
2005,110680,University of California-San Diego,1,Main Campus,25320,0,0,1,,,0,,,0,0,7,5,0
