Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,110635,University of California-Berkeley,1,Main Campus,32128,0,0,2,,,0,,,13,5,60,19,3
2001,110644,University of California-Davis,1,Main Campus,27292,0,0,28,,,0,,,1,15,81,12,7
2001,110398,University of California-Hastings College of Law,1,Main Campus,1252,0,0,0,,,0,,,0,1,1,0,0
2001,110653,University of California-Irvine,1,UCI Main Campus,21885,0,0,7,,,0,,,1,3,98,52,3
2001,110662,University of California-Los Angeles,1,UCLA,37494,0,0,11,,,0,,,6,4,120,52,0
2001,110671,University of California-Riverside,1,Main Campus,14429,0,0,4,,,0,,,1,2,37,23,1
2001,110680,University of California-San Diego,1,Main Campus,21558,0,0,4,,,0,,,0,6,29,25,2
2001,110699,University of California-San Francisco,1,Main Campus - Parnassus,3574,0,0,1,,,0,,,0,2,8,2,0
2001,110705,University of California-Santa Barbara,1,Main Campus,20373,0,0,2,,,1,,,2,3,25,1,1
2001,110714,University of California-Santa Cruz,1,Main Campus,13170,0,0,2,,,0,,,0,3,23,4,1
2002,110635,University of California-Berkeley,1,Main Campus,33145,0,0,7,,,0,,,12,5,88,19,1
2002,110644,University of California-Davis,1,Main Campus,29087,0,0,13,,,0,,,1,9,83,22,6
2002,110398,University of California-Hastings College of Law,1,Main Campus,1263,0,0,1,,,0,,,0,0,2,0,0
2002,110653,University of California-Irvine,1,UCI Main Campus,23779,0,0,2,,,0,,,1,9,125,29,4
2002,110662,University of California-Los Angeles,1,UCLA,37599,0,0,16,,,0,,,6,22,182,32,1
2002,110671,University of California-Riverside,1,Main Campus,15934,0,0,4,,,0,,,0,1,52,28,1
2002,110680,University of California-San Diego,1,Main Campus,23528,0,0,3,,,0,,,0,2,49,50,2
2002,110699,University of California-San Francisco,1,Main Campus - Parnassus,3527,0,0,2,,,0,,,3,1,16,2,0
2002,110705,University of California-Santa Barbara,1,Main Campus,20559,0,0,1,,,0,,,0,1,29,5,2
2002,110714,University of California-Santa Cruz,1,Main Campus,14139,0,0,2,,,0,,,0,2,68,0,0
2003,110635,University of California-Berkeley,1,Main Campus,33065,0,0,16,,,0,,,10,9,80,30,7
2003,110644,University of California-Davis,1,Main Campus,29402,0,0,19,,,0,,,2,10,64,13,5
2003,110398,University of California-Hastings College of Law,1,Main Campus,1257,0,0,0,,,0,,,0,3,1,0,0
2003,110653,University of California-Irvine,1,UCI Main Campus,24273,0,0,2,,,0,,,1,1,81,39,15
2003,110662,University of California-Los Angeles,1,UCLA,37055,0,0,12,,,0,,,5,6,176,43,0
2003,110671,University of California-Riverside,1,Main Campus,17296,0,0,4,,,0,,,0,5,82,38,11
2003,110680,University of California-San Diego,1,Main Campus,24105,0,0,7,,,1,,,3,3,62,52,2
2003,110699,University of California-San Francisco,1,Main Campus - Parnassus,2763,0,0,2,,,0,,,2,1,28,4,0
2003,110705,University of California-Santa Barbara,1,Main Campus,20847,0,0,9,,,1,,,4,1,58,4,3
2003,110714,University of California-Santa Cruz,1,Main Campus,14997,0,0,2,,,0,,,1,2,53,1,2
2004,110635,University of California-Berkeley,1,Main Campus,32803,0,0,22,,,0,,,6,5,84,19,5
2004,110644,University of California-Davis,1,Main Campus,29210,0,0,22,,,1,,,0,15,73,15,5
2004,110398,University of California-Hastings College of Law,1,Main Campus,1269,0,0,0,,,0,,,0,1,1,0,0
2004,110653,University of California-Irvine,1,UCI Main Campus,24344,0,0,2,,,0,,,0,5,59,37,10
2004,110662,University of California-Los Angeles,1,UCLA,35966,0,0,8,,,0,,,1,7,180,57,0
2004,445188,University of California-Merced,1,Main Campus,,0,0,0,,,0,,,0,0,0,0,0
2004,110671,University of California-Riverside,1,Main Campus,17104,0,0,7,,,0,,,2,5,27,28,3
2004,110680,University of California-San Diego,1,Main Campus,24663,0,0,2,,,0,,,1,3,62,42,4
2004,110699,University of California-San Francisco,1,Main Campus - Parnassus,2754,0,0,2,,,0,,,1,0,16,6,0
2004,110705,University of California-Santa Barbara,1,Main Campus,21026,0,0,9,,,0,,,0,4,55,4,3
2004,110714,University of California-Santa Cruz,1,Main Campus,15036,0,0,5,,,0,,,1,1,25,6,0
2005,110635,University of California-Berkeley,1,Main Campus,33547,0,0,5,,,0,,,15,5,69,19,4
2005,110644,University of California-Davis,1,Main Campus,28815,0,0,34,,,0,,,1,3,51,15,1
2005,110398,University of California-Hastings College of Law,1,Main Campus,1286,0,0,0,,,0,,,0,1,8,0,0
2005,110653,University of California-Irvine,1,UCI Main Campus,24400,0,0,7,,,0,,,0,1,64,31,4
2005,110662,University of California-Los Angeles,1,UCLA,35625,0,0,4,,,0,,,3,5,213,30,0
