Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking,Rape,Fondling,Statutory Rape
2014,110635,University of California-Berkeley,1,Main Campus,37565,4,0,1,14,2,0
2014,110644,University of California-Davis,1,Main Campus,34508,1,0,0,3,0,0
2014,110653,University of California-Irvine,1,UCI Main Campus,30051,2,0,1,1,0,0
2014,110662,University of California-Los Angeles,1,UCLA,41845,4,0,0,8,5,0
2014,445188,University of California-Merced,1,Main Campus,6268,0,0,2,0,0,0
2014,110671,University of California-Riverside,1,Main Campus,21498,0,0,0,1,0,0
2014,110680,University of California-San Diego,1,Main Campus,30709,2,0,0,0,0,0
2014,110699,University of California-San Francisco,1,Main Campus - Parnassus,3170,0,1,1,0,0,0
2014,110705,University of California-Santa Barbara,1,Main Campus,23051,1,0,0,17,0,0
2014,110714,University of California-Santa Cruz,1,Main Campus,17866,0,0,0,1,0,0
2015,110635,University of California-Berkeley,1,Main Campus,38189,7,1,0,4,2,0
2015,110644,University of California-Davis,1,Main Campus,35186,0,0,0,2,2,0
2015,110653,University of California-Irvine,1,UCI Main Campus,30836,0,0,0,1,0,0
2015,110662,University of California-Los Angeles,1,UCLA,41908,0,0,0,9,6,0
2015,445188,University of California-Merced,1,Main Campus,6685,0,0,0,0,0,0
2015,110671,University of California-Riverside,1,Main Campus,21385,1,0,0,0,0,0
2015,110680,University of California-San Diego,1,Main Campus,32906,4,1,0,1,0,0
2015,110699,University of California-San Francisco,1,Main Campus - Parnassus,3107,1,0,2,2,1,0
2015,110705,University of California-Santa Barbara,1,Main Campus,23497,4,1,0,3,1,0
2015,110714,University of California-Santa Cruz,1,Main Campus,17868,0,0,2,1,2,0
