Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,110635,University of California-Berkeley,1,Main Campus,32128,1,13,13
2001,110635,University of California-Berkeley,3,University of California Washington Academic Cente,32128,0,0,0
2001,110644,University of California-Davis,1,Main Campus,27292,0,10,10
2001,110398,University of California-Hastings College of Law,1,Main Campus,1252,0,0,0
2001,110653,University of California-Irvine,1,UCI Main Campus,21885,0,6,0
2001,110662,University of California-Los Angeles,1,UCLA,37494,0,12,1
2001,110671,University of California-Riverside,1,Main Campus,14429,4,10,0
2001,110680,University of California-San Diego,1,Main Campus,21558,0,2,12
2001,110699,University of California-San Francisco,1,Main Campus - Parnassus,3574,0,0,0
2001,110705,University of California-Santa Barbara,1,Main Campus,20373,0,5,5
2001,110714,University of California-Santa Cruz,1,Main Campus,13170,0,5,0
2002,110635,University of California-Berkeley,1,Main Campus,33145,4,4,2
2002,110635,University of California-Berkeley,3,University of California Washington Academic Cente,33145,0,0,0
2002,110644,University of California-Davis,1,Main Campus,29087,0,0,0
2002,110398,University of California-Hastings College of Law,1,Main Campus,1263,0,0,0
2002,110653,University of California-Irvine,1,UCI Main Campus,23779,7,8,0
2002,110662,University of California-Los Angeles,1,UCLA,37599,0,1,0
2002,110671,University of California-Riverside,1,Main Campus,15934,2,8,0
2002,110680,University of California-San Diego,1,Main Campus,23528,1,7,18
2002,110699,University of California-San Francisco,1,Main Campus - Parnassus,3527,0,0,0
2002,110705,University of California-Santa Barbara,1,Main Campus,20559,0,7,12
2002,110714,University of California-Santa Cruz,1,Main Campus,14139,0,0,0
2003,110635,University of California-Berkeley,1,Main Campus,33065,1,9,17
2003,110635,University of California-Berkeley,3,University of California Washington Academic Cente,33065,0,0,0
2003,110644,University of California-Davis,1,Main Campus,29402,0,6,0
2003,110398,University of California-Hastings College of Law,1,Main Campus,1257,0,0,0
2003,110653,University of California-Irvine,1,UCI Main Campus,24273,1,4,0
2003,110662,University of California-Los Angeles,1,UCLA,37055,0,0,1
2003,110671,University of California-Riverside,1,Main Campus,17296,0,7,0
2003,110680,University of California-San Diego,1,Main Campus,24105,0,1,13
2003,110699,University of California-San Francisco,1,Main Campus - Parnassus,2763,0,0,0
2003,110705,University of California-Santa Barbara,1,Main Campus,20847,2,14,25
2003,110714,University of California-Santa Cruz,1,Main Campus,14997,2,1,0
2004,110635,University of California-Berkeley,1,Main Campus,32803,1,17,10
2004,110635,University of California-Berkeley,3,University of California Washington Academic Cente,32803,0,0,0
2004,110644,University of California-Davis,1,Main Campus,29210,3,3,0
2004,110398,University of California-Hastings College of Law,1,Main Campus,1269,0,0,0
2004,110653,University of California-Irvine,1,UCI Main Campus,24344,1,6,0
2004,110662,University of California-Los Angeles,1,UCLA,35966,1,2,2
2004,445188,University of California-Merced,1,Main Campus,,0,0,0
2004,110671,University of California-Riverside,1,Main Campus,17104,0,7,1
2004,110680,University of California-San Diego,1,Main Campus,24663,0,1,7
2004,110699,University of California-San Francisco,1,Main Campus - Parnassus,2754,0,1,0
2004,110705,University of California-Santa Barbara,1,Main Campus,21026,1,15,18
2004,110714,University of California-Santa Cruz,1,Main Campus,15036,0,0,0
2005,110635,University of California-Berkeley,1,Main Campus,33547,2,9,14
2005,110635,University of California-Berkeley,3,University of California Washington Academic Cente,33547,0,0,0
2005,110644,University of California-Davis,1,Main Campus,28815,0,2,0
2005,110398,University of California-Hastings College of Law,1,Main Campus,1286,0,0,0
2005,110653,University of California-Irvine,1,UCI Main Campus,24400,0,5,1
2005,110662,University of California-Los Angeles,1,UCLA,35625,0,1,1
2005,445188,University of California-Merced,1,Main Campus,878,0,0,4
2005,110671,University of California-Riverside,1,Main Campus,16622,1,13,0
2005,110680,University of California-San Diego,1,Main Campus,25320,0,0,4
2005,110699,University of California-San Francisco,1,Main Campus - Parnassus,2863,0,0,0
2005,110705,University of California-Santa Barbara,1,Main Campus,21016,3,20,20
2005,110714,University of California-Santa Cruz,1,Main Campus,15012,0,0,0
2006,110635,University of California-Berkeley,1,Main Campus,33920,1,4,2
2006,110635,University of California-Berkeley,3,University of California Washington Academic Cente,33920,0,0,0
2006,110644,University of California-Davis,1,Main Campus,29628,0,7,2
2006,110398,University of California-Hastings College of Law,1,Main Campus,1272,0,0,0
2006,110653,University of California-Irvine,1,UCI Main Campus,25230,0,14,0
2006,110662,University of California-Los Angeles,1,UCLA,36611,0,10,2
2006,445188,University of California-Merced,1,Main Campus,1286,0,5,1
2006,110671,University of California-Riverside,1,Main Campus,16875,3,16,0
2006,110680,University of California-San Diego,1,Main Campus,26247,1,8,3
2006,110699,University of California-San Francisco,1,Main Campus - Parnassus,2943,0,0,0
2006,110705,University of California-Santa Barbara,1,Main Campus,21082,1,41,31
2006,110714,University of California-Santa Cruz,1,Main Campus,15364,0,1,0
2007,110635,University of California-Berkeley,1,Main Campus,34940,1,13,6
2007,110635,University of California-Berkeley,3,University of California Washington Academic Cente,34940,0,0,0
2007,110644,University of California-Davis,1,Main Campus,29796,1,9,8
2007,110398,University of California-Hastings College of Law,1,Main Campus,1262,0,0,0
2007,110653,University of California-Irvine,1,UCI Main Campus,26483,1,30,9
2007,110662,University of California-Los Angeles,1,UCLA,37476,0,2,8
2007,445188,University of California-Merced,1,Main Campus,1871,1,2,2
2007,110671,University of California-Riverside,1,Main Campus,17187,0,5,0
2007,110680,University of California-San Diego,1,Main Campus,27020,1,7,6
2007,110699,University of California-San Francisco,1,Main Campus - Parnassus,2999,0,0,0
2007,110705,University of California-Santa Barbara,1,Main Campus,21410,1,25,21
2007,110714,University of California-Santa Cruz,1,Main Campus,15825,0,2,1
2008,110635,University of California-Berkeley,1,Main Campus,35396,2,4,1
2008,110635,University of California-Berkeley,3,University of California Washington Academic Cente,35396,0,0,0
2008,110644,University of California-Davis,1,Main Campus,30568,0,19,9
2008,110398,University of California-Hastings College of Law,1,Main Campus,1306,0,0,0
2008,110653,University of California-Irvine,1,UCI Main Campus,26984,0,11,1
2008,110662,University of California-Los Angeles,1,UCLA,38220,0,4,0
2008,445188,University of California-Merced,1,Main Campus,2718,0,2,2
2008,110671,University of California-Riverside,1,Main Campus,18079,2,11,1
2008,110680,University of California-San Diego,1,Main Campus,27520,1,6,10
2008,110699,University of California-San Francisco,1,Main Campus - Parnassus,2998,0,0,0
2008,110705,University of California-Santa Barbara,1,Main Campus,21868,3,19,17
2008,110714,University of California-Santa Cruz,1,Main Campus,16615,0,0,0
2009,110635,University of California-Berkeley,1,Main Campus,35830,4,6,5
2009,110635,University of California-Berkeley,3,University of California Washington Academic Cente,35830,0,0,0
2009,110644,University of California-Davis,1,Main Campus,31247,1,13,6
2009,110398,University of California-Hastings College of Law,1,Main Campus,1347,0,0,0
2009,110653,University of California-Irvine,1,UCI Main Campus,27142,1,15,6
2009,110662,University of California-Los Angeles,1,UCLA,38550,0,5,3
2009,445188,University of California-Merced,1,Main Campus,3414,0,1,1
2009,110671,University of California-Riverside,1,Main Campus,19384,1,12,1
2009,110680,University of California-San Diego,1,Main Campus,28418,0,2,9
2009,110699,University of California-San Francisco,1,Main Campus - Parnassus,3119,0,0,0
2009,110705,University of California-Santa Barbara,1,Main Campus,22850,0,13,16
2009,110714,University of California-Santa Cruz,1,Main Campus,16775,0,1,0
2010,110635,University of California-Berkeley,1,Main Campus,35833,1,14,6
2010,110635,University of California-Berkeley,3,University of California Washington Academic Cente,35833,0,0,0
2010,110644,University of California-Davis,1,Main Campus,31392,1,3,5
2010,110398,University of California-Hastings College of Law,1,Main Campus,1304,0,0,0
2010,110653,University of California-Irvine,1,UCI Main Campus,26994,0,17,2
2010,110662,University of California-Los Angeles,1,UCLA,38157,1,2,2
2010,445188,University of California-Merced,1,Main Campus,4381,0,3,0
2010,110671,University of California-Riverside,1,Main Campus,20692,1,12,0
2010,110680,University of California-San Diego,1,Main Campus,29176,1,4,3
2010,110699,University of California-San Francisco,1,Main Campus - Parnassus,3024,0,0,0
2010,110705,University of California-Santa Barbara,1,Main Campus,22218,1,14,11
2010,110714,University of California-Santa Cruz,1,Main Campus,17187,0,0,0
2011,110635,University of California-Berkeley,1,Main Campus,36137,1,9,2
2011,110635,University of California-Berkeley,3,University of California Washington Academic Cente,36137,0,0,0
2011,110644,University of California-Davis,1,Main Campus,31732,2,3,0
2011,110398,University of California-Hastings College of Law,1,Main Campus,1289,0,0,0
2011,110653,University of California-Irvine,1,UCI Main Campus,27189,0,10,0
2011,110662,University of California-Los Angeles,1,UCLA,39271,0,4,0
2011,445188,University of California-Merced,1,Main Campus,5198,0,4,0
2011,110671,University of California-Riverside,1,Main Campus,20900,1,3,1
2011,110680,University of California-San Diego,1,Main Campus,28593,0,1,32
2011,110699,University of California-San Francisco,1,Main Campus - Parnassus,3054,0,1,0
2011,110705,University of California-Santa Barbara,1,Main Campus,21685,0,13,13
2011,110714,University of California-Santa Cruz,1,Main Campus,17454,2,0,1
2012,110635,University of California-Berkeley,1,Main Campus,35893,1,6,0
2012,110635,University of California-Berkeley,3,University of California Washington Academic Cente,35893,0,0,0
2012,110644,University of California-Davis,1,Main Campus,32354,0,4,3
2012,110398,University of California-Hastings College of Law,1,Main Campus,1159,0,0,0
2012,110653,University of California-Irvine,1,UCI Main Campus,27479,0,9,1
2012,110662,University of California-Los Angeles,1,UCLA,39945,2,0,0
2012,445188,University of California-Merced,1,Main Campus,5760,0,6,0
2012,110671,University of California-Riverside,1,Main Campus,20947,3,1,4
2012,110680,University of California-San Diego,1,Main Campus,28294,0,5,5
2012,110699,University of California-San Francisco,1,Main Campus - Parnassus,3137,0,0,0
2012,110705,University of California-Santa Barbara,1,Main Campus,21927,0,10,2
2012,110714,University of California-Santa Cruz,1,Main Campus,17404,0,1,0
2013,110635,University of California-Berkeley,1,Main Campus,36198,3,4,3
2013,110635,University of California-Berkeley,3,University of California Washington Academic Cente,36198,0,0,0
2013,110644,University of California-Davis,1,Main Campus,33307,1,0,10
2013,110398,University of California-Hastings College of Law,1,Main Campus,1088,0,0,0
2013,110653,University of California-Irvine,1,UCI Main Campus,28895,1,12,0
2013,110662,University of California-Los Angeles,1,UCLA,40795,0,1,1
2013,445188,University of California-Merced,1,Main Campus,6195,0,4,0
2013,110671,University of California-Riverside,1,Main Campus,21207,1,10,0
2013,110680,University of California-San Diego,1,Main Campus,29517,1,5,7
2013,110699,University of California-San Francisco,1,Main Campus - Parnassus,3079,0,0,0
2013,110699,University of California-San Francisco,2,Mission Bay,3079,0,0,0
2013,110705,University of California-Santa Barbara,1,Main Campus,22225,3,0,4
2013,110714,University of California-Santa Cruz,1,Main Campus,17203,1,2,0
2014,110635,University of California-Berkeley,1,Main Campus,37565,3,2,0
2014,110635,University of California-Berkeley,3,University of California Washington Academic Cente,37565,0,0,0
2014,110644,University of California-Davis,1,Main Campus,34508,0,0,0
2014,110398,University of California-Hastings College of Law,1,Main Campus,1003,0,0,0
2014,110653,University of California-Irvine,1,UCI Main Campus,30051,2,4,1
2014,110662,University of California-Los Angeles,1,UCLA,41845,0,0,2
2014,445188,University of California-Merced,1,Main Campus,6268,0,1,0
2014,110671,University of California-Riverside,1,Main Campus,21498,1,2,0
2014,110680,University of California-San Diego,1,Main Campus,30709,1,7,73
2014,110699,University of California-San Francisco,1,Main Campus - Parnassus,3170,0,0,0
2014,110699,University of California-San Francisco,2,Mission Bay,3170,0,0,0
2014,110705,University of California-Santa Barbara,1,Main Campus,23051,0,0,6
2014,110714,University of California-Santa Cruz,1,Main Campus,17866,2,3,0
2015,110635,University of California-Berkeley,1,Main Campus,38189,2,1,0
2015,110635,University of California-Berkeley,3,University of California Washington Academic Cente,38189,0,0,0
2015,110644,University of California-Davis,1,Main Campus,35186,0,1,0
2015,110398,University of California-Hastings College of Law,1,Main Campus,950,0,0,0
2015,110653,University of California-Irvine,1,UCI Main Campus,30836,0,1,1
2015,110662,University of California-Los Angeles,1,UCLA,41908,1,1,2
2015,445188,University of California-Merced,1,Main Campus,6685,0,0,0
2015,110671,University of California-Riverside,1,Main Campus,21385,2,6,0
2015,110680,University of California-San Diego,1,Main Campus,32906,2,0,14
2015,110699,University of California-San Francisco,1,Main Campus - Parnassus,3107,0,0,0
2015,110699,University of California-San Francisco,2,Mission Bay,3107,0,0,0
2015,110705,University of California-Santa Barbara,1,Main Campus,23497,1,1,1
2015,110714,University of California-Santa Cruz,1,Main Campus,17868,1,4,0
