Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,110635,University of California-Berkeley,1,Main Campus,32128,0,0,1,,,0,,,2,1,5,4,0
2001,110635,University of California-Berkeley,3,University of California Washington Academic Cente,32128,0,0,0,,,0,,,0,0,0,0,0
2001,110644,University of California-Davis,1,Main Campus,27292,0,0,25,,,0,,,0,12,27,0,2
2001,110398,University of California-Hastings College of Law,1,Main Campus,1252,0,0,0,,,0,,,0,0,0,0,0
2001,110653,University of California-Irvine,1,UCI Main Campus,21885,0,0,2,,,0,,,0,1,30,1,2
2001,110662,University of California-Los Angeles,1,UCLA,37494,0,0,4,,,0,,,0,0,16,0,0
2001,110671,University of California-Riverside,1,Main Campus,14429,0,0,4,,,0,,,1,0,26,0,0
2001,110680,University of California-San Diego,1,Main Campus,21558,0,0,2,,,0,,,0,0,8,0,1
2001,110699,University of California-San Francisco,1,Main Campus - Parnassus,3574,0,0,0,,,0,,,0,0,0,1,0
2001,110705,University of California-Santa Barbara,1,Main Campus,20373,0,0,0,,,0,,,0,1,6,0,1
2001,110714,University of California-Santa Cruz,1,Main Campus,13170,0,0,0,,,0,,,0,0,4,0,0
2002,110635,University of California-Berkeley,1,Main Campus,33145,0,0,2,,,0,,,0,3,20,0,1
2002,110635,University of California-Berkeley,3,University of California Washington Academic Cente,33145,0,0,0,,,0,,,0,0,0,0,0
2002,110644,University of California-Davis,1,Main Campus,29087,0,0,12,,,0,,,0,6,32,0,3
2002,110398,University of California-Hastings College of Law,1,Main Campus,1263,0,0,0,,,0,,,0,0,0,0,0
2002,110653,University of California-Irvine,1,UCI Main Campus,23779,0,0,2,,,0,,,1,6,53,2,4
2002,110662,University of California-Los Angeles,1,UCLA,37599,0,0,8,,,0,,,1,5,32,0,0
2002,110671,University of California-Riverside,1,Main Campus,15934,0,0,4,,,0,,,0,0,26,0,1
2002,110680,University of California-San Diego,1,Main Campus,23528,0,0,2,,,0,,,0,1,10,0,1
2002,110699,University of California-San Francisco,1,Main Campus - Parnassus,3527,0,0,0,,,0,,,0,0,4,2,0
2002,110705,University of California-Santa Barbara,1,Main Campus,20559,0,0,1,,,0,,,0,1,14,2,2
2002,110714,University of California-Santa Cruz,1,Main Campus,14139,0,0,2,,,0,,,0,0,30,0,0
