Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,110635,University of California-Berkeley,1,Main Campus,32128,5,88,188
2001,110635,University of California-Berkeley,3,University of California Washington Academic Cente,32128,0,0,0
2001,110644,University of California-Davis,1,Main Campus,27292,0,37,183
2001,110644,University of California-Davis,2,UC Davis Medical Center,27292,0,0,0
2001,110398,University of California-Hastings College of Law,1,Main Campus,1252,0,0,0
2001,110653,University of California-Irvine,1,UCI Main Campus,21885,5,68,121
2001,110653,University of California-Irvine,2,UCI Medical Center,21885,0,0,0
2001,110662,University of California-Los Angeles,1,UCLA,37494,0,34,259
2001,110671,University of California-Riverside,1,Main Campus,14429,0,14,25
2001,110680,University of California-San Diego,1,Main Campus,21558,4,138,920
2001,110699,University of California-San Francisco,1,Main Campus - Parnassus,3574,0,0,0
2001,110705,University of California-Santa Barbara,1,Main Campus,20373,5,141,1416
2001,110714,University of California-Santa Cruz,1,Main Campus,13170,6,483,935
2002,110635,University of California-Berkeley,1,Main Campus,33145,1,113,279
2002,110635,University of California-Berkeley,3,University of California Washington Academic Cente,33145,0,0,0
2002,110644,University of California-Davis,1,Main Campus,29087,2,46,101
2002,110644,University of California-Davis,2,UC Davis Medical Center,29087,0,0,0
2002,110398,University of California-Hastings College of Law,1,Main Campus,1263,0,0,0
2002,110653,University of California-Irvine,1,UCI Main Campus,23779,12,37,147
2002,110653,University of California-Irvine,2,UCI Medical Center,23779,0,0,0
2002,110662,University of California-Los Angeles,1,UCLA,37599,0,97,390
2002,110671,University of California-Riverside,1,Main Campus,15934,5,26,98
2002,110680,University of California-San Diego,1,Main Campus,23528,6,151,1051
2002,110699,University of California-San Francisco,1,Main Campus - Parnassus,3527,0,0,0
2002,110705,University of California-Santa Barbara,1,Main Campus,20559,3,163,790
2002,110714,University of California-Santa Cruz,1,Main Campus,14139,2,627,1234
2003,110635,University of California-Berkeley,1,Main Campus,33065,1,90,319
2003,110635,University of California-Berkeley,3,University of California Washington Academic Cente,33065,0,0,0
2003,110644,University of California-Davis,1,Main Campus,29402,16,38,214
2003,110644,University of California-Davis,2,UC Davis Medical Center,29402,0,0,0
2003,110398,University of California-Hastings College of Law,1,Main Campus,1257,0,0,0
2003,110653,University of California-Irvine,1,UCI Main Campus,24273,2,22,181
2003,110653,University of California-Irvine,2,UCI Medical Center,24273,0,0,0
2003,110662,University of California-Los Angeles,1,UCLA,37055,0,55,460
2003,110671,University of California-Riverside,1,Main Campus,17296,6,8,217
2003,110680,University of California-San Diego,1,Main Campus,24105,2,149,1034
2003,110699,University of California-San Francisco,1,Main Campus - Parnassus,2763,0,1,0
2003,110705,University of California-Santa Barbara,1,Main Campus,20847,8,102,616
2003,110714,University of California-Santa Cruz,1,Main Campus,14997,14,714,1335
2004,110635,University of California-Berkeley,1,Main Campus,32803,4,46,529
2004,110635,University of California-Berkeley,3,University of California Washington Academic Cente,32803,0,0,0
2004,110644,University of California-Davis,1,Main Campus,29210,2,31,269
2004,110644,University of California-Davis,2,UC Davis Medical Center,29210,0,0,0
2004,110398,University of California-Hastings College of Law,1,Main Campus,1269,0,0,0
2004,110653,University of California-Irvine,1,UCI Main Campus,24344,2,7,189
2004,110653,University of California-Irvine,2,UCI Medical Center,24344,0,0,0
2004,110662,University of California-Los Angeles,1,UCLA,35966,0,64,604
2004,445188,University of California-Merced,1,Main Campus,,0,0,0
2004,110671,University of California-Riverside,1,Main Campus,17104,1,28,309
2004,110680,University of California-San Diego,1,Main Campus,24663,17,145,1191
